tipo_tarifa,origen,destino,tarifa
adulto_mayor,Victoria,Victoria,0.0
adulto_mayor,Victoria,PUA,550.0
adulto_mayor,Victoria,Perquenco,650.0
adulto_mayor,Victoria,Quillem,650.0
adulto_mayor,Victoria,Lautaro,700.0
adulto_mayor,Victoria,L. Centro,700.0
adulto_mayor,Victoria,Pillanlelbun,750.0
adulto_mayor,Victoria,Coleg. Claret,0.0
adulto_mayor,Victoria,Cajon,450.0
adulto_mayor,Victoria,Temuco,900.0
adulto_mayor,Victoria,PLC,950.0
adulto_mayor,Victoria,Quepe,1000.0
adulto_mayor,Victoria,Freire,1300.0
adulto_mayor,Victoria,Pitrufquén,1350.0
adulto_mayor,PUA,Victoria,550.0
adulto_mayor,PUA,PUA,0.0
adulto_mayor,PUA,Perquenco,600.0
adulto_mayor,PUA,Quillem,600.0
adulto_mayor,PUA,Lautaro,650.0
adulto_mayor,PUA,L. Centro,650.0
adulto_mayor,PUA,Pillanlelbun,700.0
adulto_mayor,PUA,Coleg. Claret,0.0
adulto_mayor,PUA,Cajon,400.0
adulto_mayor,PUA,Temuco,750.0
adulto_mayor,PUA,PLC,850.0
adulto_mayor,PUA,Quepe,900.0
adulto_mayor,PUA,Freire,1150.0
adulto_mayor,PUA,Pitrufquén,1200.0
adulto_mayor,Perquenco,Victoria,650.0
adulto_mayor,Perquenco,PUA,600.0
adulto_mayor,Perquenco,Perquenco,0.0
adulto_mayor,Perquenco,Quillem,550.0
adulto_mayor,Perquenco,Lautaro,550.0
adulto_mayor,Perquenco,L. Centro,550.0
adulto_mayor,Perquenco,Pillanlelbun,650.0
adulto_mayor,Perquenco,Coleg. Claret,0.0
adulto_mayor,Perquenco,Cajon,400.0
adulto_mayor,Perquenco,Temuco,700.0
adulto_mayor,Perquenco,PLC,850.0
adulto_mayor,Perquenco,Quepe,900.0
adulto_mayor,Perquenco,Freire,1150.0
adulto_mayor,Perquenco,Pitrufquén,1200.0
adulto_mayor,Quillem,Victoria,650.0
adulto_mayor,Quillem,PUA,600.0
adulto_mayor,Quillem,Perquenco,550.0
adulto_mayor,Quillem,Quillem,0.0
