tipo_pasajero,origen,destino,tipo_pasajero_visual,tipo_tarifa_venta,factor_venta,paga_tarifa,aplica_subsidio_normal,aplica_subsidio_estudiante,tarifa_venta_base,tarifa_estudiante_sin_subsidio,falta_tarifa_venta,falta_tarifa_estudiante_sin_subsidio
adulto_mayor,Victoria,Lautaro,Adulto Mayor,adulto_mayor,1.0,1,0,0,700.0,1500.0,False,False
adulto_mayor,Victoria,PUA,Adulto Mayor,adulto_mayor,1.0,1,0,0,550.0,1200.0,False,False
adulto_mayor,Victoria,Perquenco,Adulto Mayor,adulto_mayor,1.0,1,0,0,650.0,1400.0,False,False
adulto_mayor,Victoria,Pillanlelbun,Adulto Mayor,adulto_mayor,1.0,1,0,0,750.0,1600.0,False,False
adulto_mayor,Victoria,Quillem,Adulto Mayor,adulto_mayor,1.0,1,0,0,650.0,1400.0,False,False
adulto_mayor,Victoria,Temuco,Adulto Mayor,adulto_mayor,1.0,1,0,0,900.0,1950.0,False,False
delegacion,PLC,Pitrufquén,Delegación,normal,0.7,1,0,0,1400.0,1550.0,False,False
delegacion,Pitrufquén,PLC,Delegación,normal,0.7,1,0,0,1400.0,1550.0,False,False
delegacion,Temuco,Victoria,Delegación,normal,0.7,1,0,0,1800.0,1950.0,False,False
delegacion,Victoria,Temuco,Delegación,normal,0.7,1,0,0,1800.0,1950.0,False,False
discapacitado,Cajon,L. Centro,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Cajon,Lautaro,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Cajon,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,900.0,False,False
discapacitado,Cajon,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Cajon,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,950.0,False,False
discapacitado,Freire,Pitrufquén,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Freire,Quepe,Discapacitado,sin_pago,0.0,0,0,0,,600.0,False,False
discapacitado,Freire,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1450.0,False,False
discapacitado,L. Centro,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,L. Centro,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,L. Centro,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1350.0,False,False
discapacitado,L. Centro,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,Lautaro,Cajon,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,Lautaro,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Lautaro,Pillanlelbun,Discapacitado,sin_pago,0.0,0,0,0,,1200.0,False,False
discapacitado,Lautaro,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,1350.0,False,False
discapacitado,Lautaro,Victoria,Discapacitado,sin_pago,0.0,0,0,0,,1500.0,False,False
discapacitado,PLC,Freire,Discapacitado,sin_pago,0.0,0,0,0,,1400.0,False,False
discapacitado,PLC,Pitrufquén,Discapacitado,sin_pago,0.0,0,0,0,,1550.0,False,False
discapacitado,PLC,Quepe,Discapacitado,sin_pago,0.0,0,0,0,,650.0,False,False
discapacitado,PLC,Temuco,Discapacitado,sin_pago,0.0,0,0,0,,750.0,False,False
discapacitado,PUA,Perquenco,Discapacitado,sin_pago,0.0,0,0,0,,1300.0,False,False
