archivo,mes,anio_base,tipo_pasajero,viajes_matriz
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,normal,24134.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,sindicato,61.0
MOD-Tren-Araucania-feb-2026.xlsx,2,2026,delegacion,1.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,adulto_mayor,3635.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,claret,11877.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,discapacitado,947.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,estudiante,8739.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,estudiante_basica,13510.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,funcionario,145.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,normal,22009.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,sindicato,10.0
MOD-Tren-Araucania-jul-2024.xlsx,7,2024,delegacion,0.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,adulto_mayor,2810.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,claret,5277.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,discapacitado,678.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,estudiante,11251.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,estudiante_basica,9627.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,funcionario,182.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,normal,17732.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,sindicato,2.0
MOD-Tren-Araucania-jun-2024.xlsx,6,2024,delegacion,0.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,adulto_mayor,3956.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,claret,10953.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,discapacitado,1427.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,estudiante,15174.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,estudiante_basica,20899.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,funcionario,284.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,normal,20121.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,sindicato,42.0
MOD-Tren-Araucania-mar-2026.xlsx,3,2026,delegacion,10.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,adulto_mayor,4002.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,claret,10523.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,discapacitado,1616.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,estudiante,14801.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,estudiante_basica,18660.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,funcionario,284.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,normal,24366.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,sindicato,36.0
MOD-Tren-Araucania-may-2026.xlsx,5,2026,delegacion,83.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,adulto_mayor,4265.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,claret,6601.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,discapacitado,1120.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,estudiante,12532.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,estudiante_basica,18269.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,funcionario,870.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,normal,22202.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,sindicato,55.0
MOD-Tren-Araucania-nov-2024.xlsx,11,2024,delegacion,0.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,adulto_mayor,4101.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,claret,8043.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,discapacitado,1140.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,estudiante,14069.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,estudiante_basica,16870.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,funcionario,1380.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,normal,22135.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,sindicato,40.0
MOD-Tren-Araucania-oct-2024.xlsx,10,2024,delegacion,0.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,adulto_mayor,3332.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,claret,6212.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,discapacitado,876.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,estudiante,12329.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,estudiante_basica,12357.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,funcionario,148.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,normal,18399.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,sindicato,58.0
MOD-Tren-Araucania-sep-2024.xlsx,9,2024,delegacion,0.0
