mes,mes_nombre,grupo_subsidio_referencial,origen,destino,viajes_observados_base_referencial
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Juan Pablo II,434.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,La Leonera,22.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Laguna Quiñenco,233.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Lomas Coloradas,224.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Lorenzo Arenas,23.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Los Canelos,212.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Los Cóndores,12.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Manquimávida,3.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Mercado,36.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Pasajero Lota,0.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,Pedro Medina,1.0
1,Enero,sin_subsidio_adulto_mayor,Cristo Redentor,UTFSM,19.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Alborada,31.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,C. Raúl Silva H.,85.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Chiguayante,9.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Concepcion Centro,0.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Concepción,109.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Costa Mar,102.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Cristo Redentor,144.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Diagonal Biobío,15.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,El Arenal,0.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,El Parque,45.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Higueras,2.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Hito Galvarino,65.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Hualqui,4.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Huinca,123.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Intermodal Coronel,178.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Juan Pablo II,27.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,La Leonera,11.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Laguna Quiñenco,232.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Lomas Coloradas,130.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Lorenzo Arenas,1.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Los Canelos,167.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Los Cóndores,8.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Manquimávida,2.0
1,Enero,sin_subsidio_adulto_mayor,Diagonal Biobío,Mercado,7.0
