origen,destino,distancia_km
Pasajero Lota,Hualqui,50.78
Pasajero Lota,La Leonera,42.88
Pasajero Lota,Manquimávida,40.48
Pasajero Lota,Pedro Medina,38.78
Pasajero Lota,Chiguayante,37.379999999999995
Pasajero Lota,Concepción,27.28
Pasajero Lota,Lorenzo Arenas,30.28
Pasajero Lota,UTFSM,33.18
Pasajero Lota,Los Cóndores,35.18
Pasajero Lota,Higueras,37.18000000000001
Pasajero Lota,El Arenal,40.38
Pasajero Lota,Mercado,41.78
Pasajero Lota,Juan Pablo II,24.28
Pasajero Lota,Diagonal Biobío,22.28
Pasajero Lota,Alborada,20.080000000000002
Pasajero Lota,Costa Mar,19.28
Pasajero Lota,El Parque,17.630000000000003
Pasajero Lota,Lomas Coloradas,15.980000000000004
Pasajero Lota,C. Raúl Silva H.,14.005000000000003
Pasajero Lota,Hito Galvarino,7.725000000000001
Pasajero Lota,Los Canelos,4.765000000000001
Pasajero Lota,Huinca,3.9000000000000057
Pasajero Lota,Cristo Redentor,2.730000000000004
Pasajero Lota,Laguna Quiñenco,1.1400000000000006
Pasajero Lota,Intermodal Coronel,0.0
Pasajero Lota,Pasajero Lota,0.0
Pasajero Lota,Concepción Centro,27.28
Concepción Centro,Hualqui,23.5
Concepción Centro,La Leonera,15.6
Concepción Centro,Manquimávida,13.2
Concepción Centro,Pedro Medina,11.5
Concepción Centro,Chiguayante,10.1
Concepción Centro,Concepción,0.0
Concepción Centro,Lorenzo Arenas,3.0
Concepción Centro,UTFSM,5.9
Concepción Centro,Los Cóndores,7.9
Concepción Centro,Higueras,9.9
Concepción Centro,El Arenal,13.1
Concepción Centro,Mercado,14.5
Concepción Centro,Juan Pablo II,3.0
Concepción Centro,Diagonal Biobío,5.0
Concepción Centro,Alborada,7.199999999999999
Concepción Centro,Costa Mar,8.0
Concepción Centro,El Parque,9.649999999999999
Concepción Centro,Lomas Coloradas,11.299999999999997
Concepción Centro,C. Raúl Silva H.,13.274999999999999
Concepción Centro,Hito Galvarino,19.555
Concepción Centro,Los Canelos,22.515
Concepción Centro,Huinca,23.379999999999995
Concepción Centro,Cristo Redentor,24.549999999999997
Concepción Centro,Laguna Quiñenco,26.14
Concepción Centro,Intermodal Coronel,27.28
Concepción Centro,Pasajero Lota,27.28
Concepción Centro,Concepción Centro,0.0
