tipo_pasajero,origen,destino,tarifa_2026
Normal,Higueras,Pedro Medina,540.0
Normal,Higueras,Chiguayante,540.0
Normal,Higueras,Concepción,500.0
Normal,Higueras,Lorenzo Arenas,500.0
Normal,Higueras,UTFSM,420.0
Normal,Higueras,Los Cóndores,420.0
Normal,Higueras,Higueras,420.0
Normal,Higueras,El Arenal,490.0
Normal,Higueras,Mercado,490.0
Normal,Higueras,Juan Pablo II,560.0
Normal,Higueras,Diagonal Biobío,560.0
Normal,Higueras,Alborada,560.0
Normal,Higueras,Costa Mar,590.0
Normal,Higueras,El Parque,590.0
Normal,Higueras,Lomas Coloradas,590.0
Normal,Higueras,C. Raúl Silva H.,590.0
Normal,Higueras,Hito Galvarino,870.0
Normal,Higueras,Los Canelos,870.0
Normal,Higueras,Huinca,880.0
Normal,Higueras,Cristo Redentor,880.0
Normal,Higueras,Laguna Quiñenco,900.0
Normal,Higueras,Intermodal Coronel,900.0
Normal,Higueras,Pasajero Lota,0.0
Normal,Higueras,Concepción Centro,0.0
Normal,El Arenal,Hualqui,580.0
Normal,El Arenal,La Leonera,550.0
Normal,El Arenal,Manquimávida,550.0
Normal,El Arenal,Pedro Medina,550.0
Normal,El Arenal,Chiguayante,550.0
Normal,El Arenal,Concepción,540.0
Normal,El Arenal,Lorenzo Arenas,540.0
Normal,El Arenal,UTFSM,490.0
Normal,El Arenal,Los Cóndores,490.0
Normal,El Arenal,Higueras,490.0
Normal,El Arenal,El Arenal,420.0
Normal,El Arenal,Mercado,420.0
Normal,El Arenal,Juan Pablo II,560.0
Normal,El Arenal,Diagonal Biobío,560.0
Normal,El Arenal,Alborada,560.0
Normal,El Arenal,Costa Mar,590.0
Normal,El Arenal,El Parque,590.0
Normal,El Arenal,Lomas Coloradas,590.0
Normal,El Arenal,C. Raúl Silva H.,590.0
Normal,El Arenal,Hito Galvarino,880.0
Normal,El Arenal,Los Canelos,880.0
Normal,El Arenal,Huinca,900.0
Normal,El Arenal,Cristo Redentor,900.0
Normal,El Arenal,Laguna Quiñenco,910.0
Normal,El Arenal,Intermodal Coronel,910.0
Normal,El Arenal,Pasajero Lota,0.0
Normal,El Arenal,Concepción Centro,0.0
Normal,Mercado,Hualqui,580.0
Normal,Mercado,La Leonera,550.0
Normal,Mercado,Manquimávida,550.0
Normal,Mercado,Pedro Medina,550.0
Normal,Mercado,Chiguayante,550.0
Normal,Mercado,Concepción,540.0
Normal,Mercado,Lorenzo Arenas,540.0
Normal,Mercado,UTFSM,490.0
Normal,Mercado,Los Cóndores,490.0
Normal,Mercado,Higueras,490.0
Normal,Mercado,El Arenal,420.0
Normal,Mercado,Mercado,420.0
Normal,Mercado,Juan Pablo II,560.0
Normal,Mercado,Diagonal Biobío,560.0
Normal,Mercado,Alborada,560.0
Normal,Mercado,Costa Mar,590.0
Normal,Mercado,El Parque,590.0
Normal,Mercado,Lomas Coloradas,590.0
Normal,Mercado,C. Raúl Silva H.,590.0
Normal,Mercado,Hito Galvarino,880.0
Normal,Mercado,Los Canelos,880.0
Normal,Mercado,Huinca,900.0
Normal,Mercado,Cristo Redentor,900.0
Normal,Mercado,Laguna Quiñenco,910.0
Normal,Mercado,Intermodal Coronel,910.0
Normal,Mercado,Pasajero Lota,0.0
Normal,Mercado,Concepción Centro,0.0
Normal,Juan Pablo II,Hualqui,600.0
Normal,Juan Pablo II,La Leonera,590.0
Normal,Juan Pablo II,Manquimávida,590.0
Normal,Juan Pablo II,Pedro Medina,590.0
Normal,Juan Pablo II,Chiguayante,590.0
Normal,Juan Pablo II,Concepción,570.0
Normal,Juan Pablo II,Lorenzo Arenas,570.0
Normal,Juan Pablo II,UTFSM,560.0
Normal,Juan Pablo II,Los Cóndores,560.0
Normal,Juan Pablo II,Higueras,560.0
Normal,Juan Pablo II,El Arenal,560.0
Normal,Juan Pablo II,Mercado,560.0
Normal,Juan Pablo II,Juan Pablo II,440.0
Normal,Juan Pablo II,Diagonal Biobío,440.0
Normal,Juan Pablo II,Alborada,440.0
Normal,Juan Pablo II,Costa Mar,510.0
Normal,Juan Pablo II,El Parque,510.0
Normal,Juan Pablo II,Lomas Coloradas,510.0
Normal,Juan Pablo II,C. Raúl Silva H.,510.0
Normal,Juan Pablo II,Hito Galvarino,650.0
Normal,Juan Pablo II,Los Canelos,650.0
Normal,Juan Pablo II,Huinca,680.0
Normal,Juan Pablo II,Cristo Redentor,680.0
Normal,Juan Pablo II,Laguna Quiñenco,790.0
Normal,Juan Pablo II,Intermodal Coronel,790.0
Normal,Juan Pablo II,Pasajero Lota,0.0
Normal,Juan Pablo II,Concepción Centro,0.0
Normal,Diagonal Biobío,Hualqui,600.0
Normal,Diagonal Biobío,La Leonera,590.0
Normal,Diagonal Biobío,Manquimávida,590.0
Normal,Diagonal Biobío,Pedro Medina,590.0
Normal,Diagonal Biobío,Chiguayante,590.0
Normal,Diagonal Biobío,Concepción,570.0
Normal,Diagonal Biobío,Lorenzo Arenas,570.0
Normal,Diagonal Biobío,UTFSM,560.0
Normal,Diagonal Biobío,Los Cóndores,560.0
Normal,Diagonal Biobío,Higueras,560.0
Normal,Diagonal Biobío,El Arenal,560.0
Normal,Diagonal Biobío,Mercado,560.0
Normal,Diagonal Biobío,Juan Pablo II,440.0
Normal,Diagonal Biobío,Diagonal Biobío,440.0
Normal,Diagonal Biobío,Alborada,440.0
Normal,Diagonal Biobío,Costa Mar,510.0
Normal,Diagonal Biobío,El Parque,510.0
Normal,Diagonal Biobío,Lomas Coloradas,510.0
Normal,Diagonal Biobío,C. Raúl Silva H.,510.0
Normal,Diagonal Biobío,Hito Galvarino,650.0
Normal,Diagonal Biobío,Los Canelos,650.0
Normal,Diagonal Biobío,Huinca,680.0
Normal,Diagonal Biobío,Cristo Redentor,680.0
Normal,Diagonal Biobío,Laguna Quiñenco,790.0
Normal,Diagonal Biobío,Intermodal Coronel,790.0
Normal,Diagonal Biobío,Pasajero Lota,0.0
Normal,Diagonal Biobío,Concepción Centro,0.0
Normal,Alborada,Hualqui,600.0
Normal,Alborada,La Leonera,590.0
Normal,Alborada,Manquimávida,590.0
Normal,Alborada,Pedro Medina,590.0
Normal,Alborada,Chiguayante,590.0
Normal,Alborada,Concepción,570.0
Normal,Alborada,Lorenzo Arenas,570.0
Normal,Alborada,UTFSM,560.0
Normal,Alborada,Los Cóndores,560.0
Normal,Alborada,Higueras,560.0
Normal,Alborada,El Arenal,560.0
Normal,Alborada,Mercado,560.0
Normal,Alborada,Juan Pablo II,440.0
Normal,Alborada,Diagonal Biobío,440.0
Normal,Alborada,Alborada,440.0
Normal,Alborada,Costa Mar,510.0
Normal,Alborada,El Parque,510.0
Normal,Alborada,Lomas Coloradas,510.0
Normal,Alborada,C. Raúl Silva H.,510.0
Normal,Alborada,Hito Galvarino,650.0
Normal,Alborada,Los Canelos,650.0
Normal,Alborada,Huinca,680.0
Normal,Alborada,Cristo Redentor,680.0
Normal,Alborada,Laguna Quiñenco,790.0
Normal,Alborada,Intermodal Coronel,790.0
Normal,Alborada,Pasajero Lota,0.0
Normal,Alborada,Concepción Centro,0.0
Normal,Costa Mar,Hualqui,600.0
Normal,Costa Mar,La Leonera,590.0
Normal,Costa Mar,Manquimávida,590.0
Normal,Costa Mar,Pedro Medina,590.0
Normal,Costa Mar,Chiguayante,590.0
Normal,Costa Mar,Concepción,570.0
Normal,Costa Mar,Lorenzo Arenas,570.0
Normal,Costa Mar,UTFSM,590.0
Normal,Costa Mar,Los Cóndores,590.0
Normal,Costa Mar,Higueras,590.0
Normal,Costa Mar,El Arenal,590.0
Normal,Costa Mar,Mercado,590.0
Normal,Costa Mar,Juan Pablo II,510.0
Normal,Costa Mar,Diagonal Biobío,510.0
Normal,Costa Mar,Alborada,510.0
Normal,Costa Mar,Costa Mar,430.0
Normal,Costa Mar,El Parque,430.0
Normal,Costa Mar,Lomas Coloradas,430.0
Normal,Costa Mar,C. Raúl Silva H.,430.0
Normal,Costa Mar,Hito Galvarino,610.0
Normal,Costa Mar,Los Canelos,610.0
Normal,Costa Mar,Huinca,630.0
Normal,Costa Mar,Cristo Redentor,630.0
Normal,Costa Mar,Laguna Quiñenco,650.0
Normal,Costa Mar,Intermodal Coronel,650.0
Normal,Costa Mar,Pasajero Lota,0.0
Normal,Costa Mar,Concepción Centro,0.0
Normal,El Parque,Hualqui,600.0
Normal,El Parque,La Leonera,590.0
Normal,El Parque,Manquimávida,590.0
Normal,El Parque,Pedro Medina,590.0
Normal,El Parque,Chiguayante,590.0
Normal,El Parque,Concepción,570.0
Normal,El Parque,Lorenzo Arenas,570.0
Normal,El Parque,UTFSM,590.0
Normal,El Parque,Los Cóndores,590.0
Normal,El Parque,Higueras,590.0
Normal,El Parque,El Arenal,590.0
Normal,El Parque,Mercado,590.0
Normal,El Parque,Juan Pablo II,510.0
Normal,El Parque,Diagonal Biobío,510.0
Normal,El Parque,Alborada,510.0
Normal,El Parque,Costa Mar,430.0
Normal,El Parque,El Parque,430.0
Normal,El Parque,Lomas Coloradas,430.0
Normal,El Parque,C. Raúl Silva H.,430.0
Normal,El Parque,Hito Galvarino,610.0
Normal,El Parque,Los Canelos,610.0
Normal,El Parque,Huinca,630.0
Normal,El Parque,Cristo Redentor,630.0
Normal,El Parque,Laguna Quiñenco,650.0
Normal,El Parque,Intermodal Coronel,650.0
Normal,El Parque,Pasajero Lota,0.0
Normal,El Parque,Concepción Centro,0.0
Normal,Lomas Coloradas,Hualqui,600.0
Normal,Lomas Coloradas,La Leonera,590.0
Normal,Lomas Coloradas,Manquimávida,590.0
Normal,Lomas Coloradas,Pedro Medina,590.0
Normal,Lomas Coloradas,Chiguayante,590.0
Normal,Lomas Coloradas,Concepción,570.0
Normal,Lomas Coloradas,Lorenzo Arenas,570.0
Normal,Lomas Coloradas,UTFSM,590.0
Normal,Lomas Coloradas,Los Cóndores,590.0
Normal,Lomas Coloradas,Higueras,590.0
Normal,Lomas Coloradas,El Arenal,590.0
Normal,Lomas Coloradas,Mercado,590.0
Normal,Lomas Coloradas,Juan Pablo II,510.0
Normal,Lomas Coloradas,Diagonal Biobío,510.0
Normal,Lomas Coloradas,Alborada,510.0
Normal,Lomas Coloradas,Costa Mar,430.0
Normal,Lomas Coloradas,El Parque,430.0
Normal,Lomas Coloradas,Lomas Coloradas,430.0
Normal,Lomas Coloradas,C. Raúl Silva H.,430.0
Normal,Lomas Coloradas,Hito Galvarino,610.0
Normal,Lomas Coloradas,Los Canelos,610.0
Normal,Lomas Coloradas,Huinca,630.0
Normal,Lomas Coloradas,Cristo Redentor,630.0
Normal,Lomas Coloradas,Laguna Quiñenco,650.0
Normal,Lomas Coloradas,Intermodal Coronel,650.0
Normal,Lomas Coloradas,Pasajero Lota,0.0
Normal,Lomas Coloradas,Concepción Centro,0.0
Normal,C. Raúl Silva H.,Hualqui,600.0
Normal,C. Raúl Silva H.,La Leonera,590.0
Normal,C. Raúl Silva H.,Manquimávida,590.0
Normal,C. Raúl Silva H.,Pedro Medina,590.0
Normal,C. Raúl Silva H.,Chiguayante,590.0
Normal,C. Raúl Silva H.,Concepción,570.0
Normal,C. Raúl Silva H.,Lorenzo Arenas,570.0
Normal,C. Raúl Silva H.,UTFSM,590.0
Normal,C. Raúl Silva H.,Los Cóndores,590.0
Normal,C. Raúl Silva H.,Higueras,590.0
Normal,C. Raúl Silva H.,El Arenal,590.0
Normal,C. Raúl Silva H.,Mercado,590.0
Normal,C. Raúl Silva H.,Juan Pablo II,510.0
Normal,C. Raúl Silva H.,Diagonal Biobío,510.0
Normal,C. Raúl Silva H.,Alborada,510.0
Normal,C. Raúl Silva H.,Costa Mar,430.0
Normal,C. Raúl Silva H.,El Parque,430.0
Normal,C. Raúl Silva H.,Lomas Coloradas,430.0
Normal,C. Raúl Silva H.,C. Raúl Silva H.,430.0
Normal,C. Raúl Silva H.,Hito Galvarino,610.0
Normal,C. Raúl Silva H.,Los Canelos,610.0
Normal,C. Raúl Silva H.,Huinca,630.0
Normal,C. Raúl Silva H.,Cristo Redentor,630.0
Normal,C. Raúl Silva H.,Laguna Quiñenco,650.0
Normal,C. Raúl Silva H.,Intermodal Coronel,650.0
Normal,C. Raúl Silva H.,Pasajero Lota,0.0
Normal,C. Raúl Silva H.,Concepción Centro,0.0
Normal,Hito Galvarino,Hualqui,910.0
Normal,Hito Galvarino,La Leonera,900.0
Normal,Hito Galvarino,Manquimávida,900.0
Normal,Hito Galvarino,Pedro Medina,900.0
Normal,Hito Galvarino,Chiguayante,900.0
Normal,Hito Galvarino,Concepción,850.0
Normal,Hito Galvarino,Lorenzo Arenas,850.0
Normal,Hito Galvarino,UTFSM,870.0
Normal,Hito Galvarino,Los Cóndores,870.0
Normal,Hito Galvarino,Higueras,870.0
Normal,Hito Galvarino,El Arenal,880.0
Normal,Hito Galvarino,Mercado,880.0
Normal,Hito Galvarino,Juan Pablo II,650.0
Normal,Hito Galvarino,Diagonal Biobío,650.0
Normal,Hito Galvarino,Alborada,650.0
Normal,Hito Galvarino,Costa Mar,610.0
Normal,Hito Galvarino,El Parque,610.0
Normal,Hito Galvarino,Lomas Coloradas,610.0
Normal,Hito Galvarino,C. Raúl Silva H.,610.0
Normal,Hito Galvarino,Hito Galvarino,440.0
Normal,Hito Galvarino,Los Canelos,440.0
Normal,Hito Galvarino,Huinca,460.0
Normal,Hito Galvarino,Cristo Redentor,460.0
Normal,Hito Galvarino,Laguna Quiñenco,530.0
Normal,Hito Galvarino,Intermodal Coronel,530.0
Normal,Hito Galvarino,Pasajero Lota,0.0
Normal,Hito Galvarino,Concepción Centro,0.0
Normal,Los Canelos,Hualqui,910.0
Normal,Los Canelos,La Leonera,900.0
Normal,Los Canelos,Manquimávida,900.0
Normal,Los Canelos,Pedro Medina,900.0
Normal,Los Canelos,Chiguayante,900.0
Normal,Los Canelos,Concepción,850.0
Normal,Los Canelos,Lorenzo Arenas,850.0
Normal,Los Canelos,UTFSM,870.0
Normal,Los Canelos,Los Cóndores,870.0
Normal,Los Canelos,Higueras,870.0
Normal,Los Canelos,El Arenal,880.0
Normal,Los Canelos,Mercado,880.0
Normal,Los Canelos,Juan Pablo II,650.0
Normal,Los Canelos,Diagonal Biobío,650.0
Normal,Los Canelos,Alborada,650.0
Normal,Los Canelos,Costa Mar,610.0
Normal,Los Canelos,El Parque,610.0
Normal,Los Canelos,Lomas Coloradas,610.0
Normal,Los Canelos,C. Raúl Silva H.,610.0
Normal,Los Canelos,Hito Galvarino,440.0
Normal,Los Canelos,Los Canelos,440.0
Normal,Los Canelos,Huinca,460.0
Normal,Los Canelos,Cristo Redentor,460.0
Normal,Los Canelos,Laguna Quiñenco,530.0
Normal,Los Canelos,Intermodal Coronel,530.0
Normal,Los Canelos,Pasajero Lota,0.0
Normal,Los Canelos,Concepción Centro,0.0
Normal,Huinca,Hualqui,960.0
Normal,Huinca,La Leonera,910.0
Normal,Huinca,Manquimávida,910.0
Normal,Huinca,Pedro Medina,910.0
Normal,Huinca,Chiguayante,910.0
Normal,Huinca,Concepción,850.0
Normal,Huinca,Lorenzo Arenas,850.0
Normal,Huinca,UTFSM,880.0
Normal,Huinca,Los Cóndores,880.0
Normal,Huinca,Higueras,880.0
Normal,Huinca,El Arenal,900.0
Normal,Huinca,Mercado,900.0
Normal,Huinca,Juan Pablo II,680.0
Normal,Huinca,Diagonal Biobío,680.0
Normal,Huinca,Alborada,680.0
Normal,Huinca,Costa Mar,630.0
Normal,Huinca,El Parque,630.0
Normal,Huinca,Lomas Coloradas,630.0
Normal,Huinca,C. Raúl Silva H.,630.0
Normal,Huinca,Hito Galvarino,460.0
Normal,Huinca,Los Canelos,460.0
Normal,Huinca,Huinca,440.0
Normal,Huinca,Cristo Redentor,440.0
Normal,Huinca,Laguna Quiñenco,450.0
Normal,Huinca,Intermodal Coronel,450.0
Normal,Huinca,Pasajero Lota,0.0
Normal,Huinca,Concepción Centro,0.0
Normal,Cristo Redentor,Hualqui,960.0
Normal,Cristo Redentor,La Leonera,910.0
Normal,Cristo Redentor,Manquimávida,910.0
Normal,Cristo Redentor,Pedro Medina,910.0
Normal,Cristo Redentor,Chiguayante,910.0
Normal,Cristo Redentor,Concepción,850.0
Normal,Cristo Redentor,Lorenzo Arenas,850.0
Normal,Cristo Redentor,UTFSM,880.0
Normal,Cristo Redentor,Los Cóndores,880.0
Normal,Cristo Redentor,Higueras,880.0
Normal,Cristo Redentor,El Arenal,900.0
Normal,Cristo Redentor,Mercado,900.0
Normal,Cristo Redentor,Juan Pablo II,680.0
Normal,Cristo Redentor,Diagonal Biobío,680.0
Normal,Cristo Redentor,Alborada,680.0
