anio,mes,estacion,factor_origen,factor_destino,total_mes
2023,3,UTFSM,0.015506247382819258,0.015380873455079776,797614.0
2023,4,Alborada,0.013138802598840196,0.013050296433326187,802204.0
2023,4,C. Raúl Silva H.,0.053284451336567756,0.043247104227852266,802204.0
2023,4,Chiguayante,0.014379135481747785,0.01255665641158608,802204.0
2023,4,Concepción,0.24145977831075388,0.2686311711235546,802204.0
2023,4,Costa Mar,0.05635224955248291,0.048372982433395995,802204.0
2023,4,Cristo Redentor,0.06360352229607431,0.05612412802728483,802204.0
2023,4,Diagonal Biobío,0.030522161445218424,0.043870387083584726,802204.0
2023,4,El Arenal,0.007924418227782459,0.007768597513849345,802204.0
2023,4,El Parque,0.021758804493620075,0.019197111956559678,802204.0
2023,4,Higueras,0.011676581019291851,0.012838380262377151,802204.0
2023,4,Hito Galvarino,0.02860369681527392,0.02802279719373127,802204.0
2023,4,Hualqui,0.017535439863176946,0.02006970795458512,802204.0
2023,4,Huinca,0.03778091358307862,0.03470688253860614,802204.0
2023,4,Intermodal Coronel,0.07527761018394323,0.06256139336128964,802204.0
2023,4,Juan Pablo II,0.053146082542595154,0.07170993911773066,802204.0
2023,4,La Leonera,0.012830900868108362,0.010941107249527552,802204.0
2023,4,Laguna Quiñenco,0.05343528578765501,0.0485824054729221,802204.0
2023,4,Lomas Coloradas,0.06849379958215117,0.06337415420516478,802204.0
2023,4,Lorenzo Arenas,0.007453216388848722,0.00865241260327797,802204.0
2023,4,Los Canelos,0.06781192813797987,0.0629789928746304,802204.0
2023,4,Los Cóndores,0.01406375435674716,0.013243514118603248,802204.0
2023,4,Manquimávida,0.012727435914056773,0.011897223150221141,802204.0
2023,4,Mercado,0.013228555330065669,0.014215835373545881,802204.0
2023,4,Pedro Medina,0.009032615145274769,0.008679837048930198,802204.0
2023,4,UTFSM,0.014478860738664978,0.014706982263863057,802204.0
2023,5,Alborada,0.013512448388550594,0.013955048776988013,989606.0
2023,5,C. Raúl Silva H.,0.0521854152056475,0.043543592096248404,989606.0
2023,5,Chiguayante,0.01382065185538487,0.012254371941964782,989606.0
2023,5,Concepción,0.2726852909137576,0.2910178394229623,989606.0
2023,5,Costa Mar,0.05755017653490379,0.05207425985695317,989606.0
2023,5,Cristo Redentor,0.06039878497098845,0.0553391955990566,989606.0
2023,5,Diagonal Biobío,0.030036196223547553,0.0402645093097657,989606.0
2023,5,El Arenal,0.0074484188656899816,0.007522185597096218,989606.0
2023,5,El Parque,0.022865665729593393,0.020220168430668366,989606.0
2023,5,Higueras,0.011745078344310766,0.01289199944220225,989606.0
2023,5,Hito Galvarino,0.02775346956263402,0.02800003233610144,989606.0
2023,5,Hualqui,0.01496959395961625,0.01871957122329493,989606.0
2023,5,Huinca,0.03629323185186832,0.034478368158640915,989606.0
2023,5,Intermodal Coronel,0.07633441996107541,0.0636869622860007,989606.0
2023,5,Juan Pablo II,0.03783829119871949,0.052741191949119144,989606.0
2023,5,La Leonera,0.012013872187517052,0.011230732230807007,989606.0
2023,5,Laguna Quiñenco,0.05337780894618666,0.0498137642657785,989606.0
2023,5,Lomas Coloradas,0.06880111882910976,0.06408409003179043,989606.0
2023,5,Lorenzo Arenas,0.0071442574115355,0.00867719072034729,989606.0
2023,5,Los Canelos,0.06564329642302087,0.06211360885039097,989606.0
2023,5,Los Cóndores,0.013403314046196163,0.013348746875018948,989606.0
2023,5,Manquimávida,0.011653122555845458,0.011397465253848502,989606.0
2023,5,Mercado,0.011468200475744893,0.011291362421003915,989606.0
2023,5,Pedro Medina,0.008205285739981366,0.008451848513448787,989606.0
2023,5,UTFSM,0.012852589818574262,0.012881894410502765,989606.0
2023,6,Alborada,0.014027040190320979,0.014271731902179513,854136.0
2023,6,C. Raúl Silva H.,0.051199106465480905,0.04349424447628949,854136.0
2023,6,Chiguayante,0.013181741549355138,0.012402006237882492,854136.0
2023,6,Concepción,0.27295301919132314,0.290817855704478,854136.0
2023,6,Costa Mar,0.05897070255790647,0.05304541665495893,854136.0
2023,6,Cristo Redentor,0.061339177835848156,0.054705573819625916,854136.0
2023,6,Diagonal Biobío,0.02975170230501934,0.03996904474228928,854136.0
2023,6,El Arenal,0.00822234398269128,0.00808419268125919,854136.0
2023,6,El Parque,0.02299282549851546,0.020483857371659784,854136.0
2023,6,Higueras,0.012027358640778517,0.012805923178510214,854136.0
2023,6,Hito Galvarino,0.027352786909812958,0.027673578914833234,854136.0
2023,6,Hualqui,0.014762286099637529,0.01836241535305853,854136.0
2023,6,Huinca,0.036361890846422586,0.03445118810119232,854136.0
2023,6,Intermodal Coronel,0.07452794402764899,0.062103693088688454,854136.0
2023,6,Juan Pablo II,0.037834724212537585,0.05311917540063878,854136.0
2023,6,La Leonera,0.012519083611977483,0.011658564912379293,854136.0
2023,6,Laguna Quiñenco,0.05382749351391348,0.05023907199790197,854136.0
2023,6,Lomas Coloradas,0.06728670843987375,0.06319953731021757,854136.0
2023,6,Lorenzo Arenas,0.007348946771942641,0.00895641911826688,854136.0
2023,6,Los Canelos,0.06495803946912436,0.06179109649985482,854136.0
2023,6,Los Cóndores,0.013686345031704553,0.013138422920939991,854136.0
2023,6,Manquimávida,0.011541487538284302,0.01125698951923347,854136.0
2023,6,Mercado,0.012034383283224218,0.012089409649048864,854136.0
2023,6,Pedro Medina,0.007935504416158552,0.008152097558234286,854136.0
2023,6,UTFSM,0.013357357610497625,0.01372849288637875,854136.0
2023,7,Alborada,0.014564509011705445,0.015083221375866108,813553.0
2023,7,C. Raúl Silva H.,0.05201259168118119,0.044928849134598485,813553.0
2023,7,Chiguayante,0.01334762455549915,0.01228438712659163,813553.0
2023,7,Concepción,0.2706056028310387,0.2882565733271219,813553.0
2023,7,Costa Mar,0.058372349435132066,0.053510957491398836,813553.0
2023,7,Cristo Redentor,0.060330427151027655,0.05439842272107656,813553.0
2023,7,Diagonal Biobío,0.030862156491341067,0.03759312546324579,813553.0
2023,7,El Arenal,0.008622671172007233,0.008402648628915387,813553.0
2023,7,El Parque,0.02371326760518368,0.021788377647184633,813553.0
2023,7,Higueras,0.01228684547902841,0.01278220349503966,813553.0
2023,7,Hito Galvarino,0.027893695923928742,0.02838536641128482,813553.0
2023,7,Hualqui,0.014635801232372077,0.018442559980726518,813553.0
2023,7,Huinca,0.03529333675863773,0.033782679186236175,813553.0
2023,7,Intermodal Coronel,0.07451266235881375,0.06426993693096823,813553.0
2023,7,Juan Pablo II,0.03916278349413007,0.05313605874478983,813553.0
2023,7,La Leonera,0.012988705099729212,0.012107385751143441,813553.0
2023,7,Laguna Quiñenco,0.0543185262668812,0.05014670218166487,813553.0
2023,7,Lomas Coloradas,0.06721135562157597,0.06471858625068065,813553.0
2023,7,Lorenzo Arenas,0.007462328821846886,0.00954455333579988,813553.0
2023,7,Los Canelos,0.06553353008347336,0.06147479021034893,813553.0
2023,7,Los Cóndores,0.013963441840912638,0.01290635029309707,813553.0
2023,7,Manquimávida,0.011312108737844984,0.011082252785006018,813553.0
2023,7,Mercado,0.013201352585510716,0.013000996861913115,813553.0
2023,7,Pedro Medina,0.007839685920892677,0.008188771966915493,813553.0
2023,7,UTFSM,0.009952639840305425,0.00978424269838597,813553.0
2023,8,Alborada,0.014845144356955381,0.014342312474098633,904875.0
2023,8,C. Raúl Silva H.,0.05211548556430446,0.04414753418980522,904875.0
2023,8,Chiguayante,0.013523414836303357,0.012086752313855505,904875.0
2023,8,Concepción,0.2537963807155684,0.27845061472579086,904875.0
2023,8,Costa Mar,0.059026937422295894,0.050620251415941425,904875.0
2023,8,Cristo Redentor,0.06112004420500069,0.053754385964912284,904875.0
2023,8,Diagonal Biobío,0.0328929410139522,0.04402928581295759,904875.0
2023,8,El Arenal,0.008167979002624672,0.00793148224892941,904875.0
2023,8,El Parque,0.02305953861030529,0.02064484044757563,904875.0
2023,8,Higueras,0.011743058433485288,0.012109959939218123,904875.0
2023,8,Hito Galvarino,0.028227103191048486,0.028387346318552286,904875.0
2023,8,Hualqui,0.015557949993092969,0.01899930929686421,904875.0
2023,8,Huinca,0.03678298107473408,0.034308606161071974,904875.0
2023,8,Intermodal Coronel,0.07517944467467882,0.06247713772620528,904875.0
2023,8,Juan Pablo II,0.04645282497582539,0.06660920016576875,904875.0
2023,8,La Leonera,0.01302058295344661,0.011289957176405581,904875.0
2023,8,Laguna Quiñenco,0.05298742920292858,0.04871170051112032,904875.0
2023,8,Lomas Coloradas,0.07023290509738914,0.06444757563199337,904875.0
2023,8,Lorenzo Arenas,0.007173366487083851,0.00875811576184556,904875.0
2023,8,Los Canelos,0.06667992816687388,0.06195330846802045,904875.0
2023,8,Los Cóndores,0.012774140074595939,0.012148639314822489,904875.0
2023,8,Manquimávida,0.011652438182069347,0.01127669567619837,904875.0
2023,8,Mercado,0.012366348943224203,0.011405995303218676,904875.0
2023,8,Pedro Medina,0.008174609752728277,0.008264124879126951,904875.0
2023,8,UTFSM,0.012447023069484735,0.012844868075701064,904875.0
2023,9,Alborada,0.01448101968585903,0.01414763781938323,734893.0
2023,9,C. Raúl Silva H.,0.05366767679104305,0.04380365577029581,734893.0
2023,9,Chiguayante,0.01409865109614597,0.012052094658678202,734893.0
2023,9,Concepción,0.21671318137470352,0.24532414922988788,734893.0
2023,9,Costa Mar,0.0580887285632058,0.04890099647159518,734893.0
2023,9,Cristo Redentor,0.06381337147040453,0.05473858099070205,734893.0
2023,9,Diagonal Biobío,0.03247683676399149,0.048490052293327056,734893.0
2023,9,El Arenal,0.008583562505017737,0.008371286704322942,734893.0
2023,9,El Parque,0.022912179051916403,0.02041521690912827,734893.0
2023,9,Higueras,0.011963646408388704,0.012430381021454825,734893.0
2023,9,Hito Galvarino,0.029903673051723176,0.0314413118644483,734893.0
2023,9,Hualqui,0.016462260492343783,0.01889526774646105,734893.0
