alpha,beta,funcion,lambda,train_MAE,train_RMSE,train_MAPE_pct,train_Correlacion,train_Desviacion_abs_total,train_Desviacion_pct_total,train_CPC,train_R2,valid_MAE,valid_RMSE,valid_MAPE_pct,valid_Correlacion,valid_Desviacion_abs_total,valid_Desviacion_pct_total,valid_CPC,valid_R2,score
0.5,0.5,exponencial,0.75,25491.709383499783,66884.00517304789,74.0723961619757,0.8740955405304454,3.725290298461914e-09,-1.1493022577361418e-14,0.7542332543175712,0.7629571320578725,873.7123193254764,2300.8624615548874,74.42336762425764,0.9004494398952338,0.0,0.0,0.7564742904196596,0.8062891896773599,1839.5456531080256
0.75,0.25,exponencial,1.0,26066.598010309426,68690.2459788398,72.89849726682263,0.8664925306924653,3.725290298461914e-09,-1.1493022577361418e-14,0.7486907265562788,0.7499813000859654,898.5954072356211,2388.715469859148,73.15668765257655,0.8917103956715866,0.0,0.0,0.7495387448106126,0.7912139947893191,1914.1138676360579
0.25,0.75,potencial,0.5,26929.404018799578,70553.20026253311,81.26026940023328,0.8582257745139936,3.725290298461914e-09,-1.1493022577361418e-14,0.7403723740412792,0.736235839072165,923.9164944258548,2424.3928321283397,82.08709602679497,0.8878460151432508,0.0,0.0,0.7424811177302162,0.7849306496936599,1945.4858349169115
0.75,0.25,potencial,1.0,26811.632217457114,70215.155660697,75.62491612168031,0.8598591542015285,3.725290298461914e-09,-1.1493022577361418e-14,0.7415078174089111,0.7387573531251311,926.4098042537935,2452.5962241568873,76.10829341481357,0.8850801565795752,0.0,0.0,0.7417861692539017,0.7798976643496078,1969.2078117827175
0.25,0.75,exponencial,0.75,26788.67752312308,71057.89474841712,73.07638920186399,0.8559866550532413,0.0,0.0,0.7417291246755107,0.7324487267142845,920.6821616485961,2453.0146291991095,72.82548469987876,0.8848285277561764,0.0,0.0,0.7433826080344951,0.7798225604401853,1969.2898389108843
0.5,0.5,potencial,0.75,27309.87908493281,71745.50147070698,78.18151878539506,0.852926990870816,7.450580596923828e-09,-2.2986045154722837e-14,0.7367041963835895,0.7272456407726151,941.0055949360259,2489.996560027297,78.62935783346128,0.8809373717161417,0.0,0.0,0.7377179534302759,0.7731336756449851,2001.5484979003616
0.5,0.5,exponencial,1.0,27852.27344854036,74333.21640380105,72.01251559631531,0.8409706982207662,3.725290298461914e-09,-1.1493022577361418e-14,0.7314749473122579,0.7072154202888988,962.631798470565,2595.5311426060066,71.45422919726346,0.8691742869332085,4.656612873077393e-10,-1.3844434348460384e-14,0.7316901838260389,0.7534953995429288,2091.9833920243436
0.25,0.75,exponencial,1.0,29704.983222730112,80021.28737807064,72.20832942654467,0.8132346894743578,3.725290298461914e-09,-1.1493022577361418e-14,0.7136128869440597,0.660692532772891,1028.1130451021556,2804.1088506902474,70.81517342607843,0.8442344303858865,0.0,0.0,0.7134389051185643,0.7122851507094666,2274.2881590090105
0.5,0.5,potencial,1.0,30395.366053101814,81406.5622546469,78.15713260729422,0.8060875339915388,3.725290298461914e-09,-1.1493022577361418e-14,0.7069568742403645,0.6488431216223087,1057.7536148570769,2881.3429656902704,77.58307354181962,0.8344884011653138,0.0,0.0,0.7051773290571149,0.6962177102852268,2342.9235250395022
0.75,0.25,exponencial,1.5,30106.67305958005,81295.91826694511,71.03492012725056,0.8066171668312332,3.725290298461914e-09,-1.1493022577361418e-14,0.7097401767035993,0.649797024904748,1050.6410873741208,2898.6562588387924,70.01286656363365,0.8322779312938985,4.656612873077393e-10,-1.3844434348460384e-14,0.707159770261027,0.6925560335287881,2357.392017258438
