archivo,hoja,anio,mes,bloque,n_origenes,n_destinos,total_viajes,tipo_fuente
0. Matrices Biotren abr_2026.xlsx,Mayo 2025,2025,5,Total Mes Tarjetas,25,25,967640.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Junio 2025,2025,6,Total Mes Tarjetas,25,25,918832.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Julio 2025,2025,7,Total Mes Tarjetas,25,25,819728.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Agosto 2025,2025,8,Total Mes Tarjetas,25,25,977491.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Septiembre 2025,2025,9,Total Mes Tarjetas,25,25,927647.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Octubre 2025,2025,10,Total Mes Tarjetas,25,25,1009731.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Noviembre 2025,2025,11,Total Mes Tarjetas,25,25,936393.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Diciembre 2025,2025,12,Total Mes Tarjetas,25,25,901708.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Enero 2026,2026,1,Total Mes Tarjetas,25,25,780563.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Febrero 2026,2026,2,Total Mes Tarjetas,25,25,745461.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Marzo 2026,2026,3,Total Mes Tarjetas,25,25,1168564.0,respaldo_abril
0. Matrices Biotren abr_2026.xlsx,Abril 2026,2026,4,Total Mes Tarjetas,25,25,1156420.0,respaldo_abril
