servicio,anio,mes,afluencia_mensual_normalizada,meses_observados_anio,participacion_sobre_periodo_observado,indice_mensual_vs_media_observada,cobertura
LLANQUIHUE_PM,2025,6,24487.0,8,0.10688892930394381,0.8551114344315505,0.9523809523809523
LLANQUIHUE_PM,2025,7,30553.0,8,0.13336931906099983,1.0669545524879986,0.9565217391304348
LLANQUIHUE_PM,2025,8,21130.0,8,0.0922358738181281,0.7378869905450248,0.9523809523809523
LLANQUIHUE_PM,2025,9,26596.0,8,0.1160938776202862,0.9287510209622896,0.9090909090909091
LLANQUIHUE_PM,2025,10,33321.0,8,0.1454489969927181,1.1635919759417448,0.9565217391304348
LLANQUIHUE_PM,2025,11,31210.0,8,0.13623541764222666,1.0898833411378133,1.0
LLANQUIHUE_PM,2025,12,35638.0,8,0.15556396432338462,1.244511714587077,0.9130434782608695
LLANQUIHUE_PM,2026,1,65360.0,5,0.28423295342458255,1.4211647671229126,0.9545454545454546
LLANQUIHUE_PM,2026,2,64937.0,5,0.28239385237430725,1.4119692618715363,1.0
LLANQUIHUE_PM,2026,3,33919.0,5,0.14750476736966794,0.7375238368483398,1.0
LLANQUIHUE_PM,2026,4,32673.0,5,0.14208686389276762,0.7104343194638381,0.9545454545454546
LLANQUIHUE_PM,2026,5,33063.0,5,0.14378156293867464,0.7189078146933732,0.9047619047619048
TREN_ARAUCANIA,2024,8,60202.0,5,0.20365415126061792,1.0182707563030895,1.0
TREN_ARAUCANIA,2024,9,53711.0,5,0.18169609179693447,0.9084804589846722,1.0
TREN_ARAUCANIA,2024,10,67778.0,5,0.22928259965021364,1.146412998251068,1.0
TREN_ARAUCANIA,2024,11,65914.0,5,0.22297697296090443,1.1148848648045222,1.0
TREN_ARAUCANIA,2024,12,48004.0,5,0.16239018433132957,0.8119509216566477,1.0
TREN_ARAUCANIA,2025,1,43340.0,12,0.07018191593067957,0.8421829911681549,1.0
TREN_ARAUCANIA,2025,2,42891.0,12,0.06945483516803824,0.8334580220164589,1.0
TREN_ARAUCANIA,2025,3,63167.0,12,0.10228844216874103,1.2274613060248925,1.0
TREN_ARAUCANIA,2025,4,62698.0,12,0.101528974735158,1.218347696821896,1.0
TREN_ARAUCANIA,2025,5,59389.0,12,0.09617060002785253,1.1540472003342304,1.0
TREN_ARAUCANIA,2025,6,46222.0,12,0.07484883521337958,0.898186022560555,1.0
TREN_ARAUCANIA,2025,7,55987.0,12,0.09066162730066814,1.0879395276080177,1.0
TREN_ARAUCANIA,2025,8,51601.0,12,0.08355923036315174,1.0027107643578208,1.0
TREN_ARAUCANIA,2025,9,44714.0,12,0.07240688022437486,0.8688825626924983,1.0
TREN_ARAUCANIA,2025,10,52922.0,12,0.08569836997885151,1.028380439746218,1.0
TREN_ARAUCANIA,2025,11,50758.0,12,0.08219413218295878,0.9863295861955054,1.0
TREN_ARAUCANIA,2025,12,43849.0,12,0.07100615670614602,0.8520738804737522,1.0
TREN_ARAUCANIA,2026,1,39424.0,5,0.126601401615558,0.63300700807779,1.0
TREN_ARAUCANIA,2026,2,44060.0,5,0.14148745657193282,0.7074372828596641,0.9642857142857143
TREN_ARAUCANIA,2026,3,72866.0,5,0.23399294161219686,1.1699647080609843,1.0
TREN_ARAUCANIA,2026,4,80682.0,5,0.2590922860477488,1.2954614302387442,1.0
TREN_ARAUCANIA,2026,5,74371.0,5,0.23882591415256352,1.1941295707628174,1.0
