origen,destino,tarifa_estudiante_bt_sin_subsidio,es_diagonal,origen_en_modelo,destino_en_modelo,tarifa_disponible,fuente
Manquimávida,Concepción,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Lorenzo Arenas,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,UTFSM,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Los Cóndores,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Higueras,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,El Arenal,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Mercado,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Juan Pablo II,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Diagonal Biobío,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Costa Mar,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Los Canelos,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Huinca,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Cristo Redentor,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Laguna Quiñenco,550,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Intermodal Coronel,560,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Manquimávida,Pasajero Lota,,0,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Hualqui,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,La Leonera,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Manquimávida,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Pedro Medina,,1,1,1,0,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Chiguayante,290,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Concepción,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Lorenzo Arenas,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,UTFSM,320,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Los Cóndores,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Higueras,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,El Arenal,330,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Mercado,340,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Juan Pablo II,360,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Diagonal Biobío,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Alborada,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Costa Mar,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,El Parque,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Lomas Coloradas,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,C. Raúl Silva H.,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
Pedro Medina,Hito Galvarino,370,0,1,1,1,Presupuesto 2026 Biotren v4.xlsx | Tarifa Escolar Feb-sep | Estudiante Sin subsidio 2026
