origen,destino,tarifa_versionada_anterior,tarifa_presupuesto_2026_normalizada,diferencia_nueva_menos_anterior
Juan Pablo II,Chiguayante,590,360,-230
Juan Pablo II,Concepción,570,340,-230
Juan Pablo II,Lorenzo Arenas,570,340,-230
Juan Pablo II,UTFSM,560,350,-210
Juan Pablo II,Los Cóndores,560,330,-230
Juan Pablo II,Higueras,560,330,-230
Juan Pablo II,El Arenal,560,330,-230
Juan Pablo II,Mercado,560,310,-250
Juan Pablo II,Diagonal Biobío,440,340,-100
Juan Pablo II,Alborada,440,340,-100
Juan Pablo II,Costa Mar,510,330,-180
Juan Pablo II,El Parque,510,350,-160
Juan Pablo II,Lomas Coloradas,510,350,-160
Juan Pablo II,C. Raúl Silva H.,510,350,-160
Juan Pablo II,Hito Galvarino,650,370,-280
Juan Pablo II,Los Canelos,650,550,-100
Juan Pablo II,Huinca,680,550,-130
Juan Pablo II,Cristo Redentor,680,560,-120
Juan Pablo II,Laguna Quiñenco,790,550,-240
Juan Pablo II,Intermodal Coronel,790,550,-240
Diagonal Biobío,Hualqui,600,370,-230
Diagonal Biobío,La Leonera,590,370,-220
Diagonal Biobío,Manquimávida,590,370,-220
Diagonal Biobío,Pedro Medina,590,370,-220
Diagonal Biobío,Chiguayante,590,370,-220
Diagonal Biobío,Concepción,570,350,-220
Diagonal Biobío,Lorenzo Arenas,570,350,-220
Diagonal Biobío,UTFSM,560,360,-200
Diagonal Biobío,Los Cóndores,560,350,-210
Diagonal Biobío,Higueras,560,350,-210
Diagonal Biobío,El Arenal,560,350,-210
Diagonal Biobío,Mercado,560,350,-210
Diagonal Biobío,Juan Pablo II,440,340,-100
Diagonal Biobío,Alborada,440,300,-140
Diagonal Biobío,Costa Mar,510,290,-220
Diagonal Biobío,El Parque,510,330,-180
Diagonal Biobío,Lomas Coloradas,510,330,-180
Diagonal Biobío,C. Raúl Silva H.,510,330,-180
Diagonal Biobío,Hito Galvarino,650,350,-300
Diagonal Biobío,Los Canelos,650,410,-240
Diagonal Biobío,Huinca,680,410,-270
Diagonal Biobío,Cristo Redentor,680,420,-260
Diagonal Biobío,Laguna Quiñenco,790,410,-380
Diagonal Biobío,Intermodal Coronel,790,490,-300
Alborada,Hualqui,600,370,-230
Alborada,La Leonera,590,370,-220
Alborada,Manquimávida,590,370,-220
Alborada,Pedro Medina,590,370,-220
Alborada,Chiguayante,590,370,-220
Alborada,Concepción,570,350,-220
Alborada,Lorenzo Arenas,570,350,-220
Alborada,UTFSM,560,360,-200
Alborada,Los Cóndores,560,350,-210
Alborada,Higueras,560,350,-210
Alborada,El Arenal,560,350,-210
Alborada,Mercado,560,350,-210
Alborada,Juan Pablo II,440,340,-100
Alborada,Diagonal Biobío,440,300,-140
Alborada,Costa Mar,510,290,-220
Alborada,El Parque,510,330,-180
Alborada,Lomas Coloradas,510,330,-180
Alborada,C. Raúl Silva H.,510,330,-180
Alborada,Hito Galvarino,650,350,-300
Alborada,Los Canelos,650,410,-240
Alborada,Huinca,680,410,-270
Alborada,Cristo Redentor,680,420,-260
Alborada,Laguna Quiñenco,790,410,-380
Alborada,Intermodal Coronel,790,490,-300
Costa Mar,Hualqui,600,360,-240
Costa Mar,La Leonera,590,370,-220
Costa Mar,Manquimávida,590,370,-220
Costa Mar,Pedro Medina,590,370,-220
Costa Mar,Chiguayante,590,370,-220
Costa Mar,Concepción,570,350,-220
Costa Mar,Lorenzo Arenas,570,350,-220
Costa Mar,UTFSM,590,360,-230
Costa Mar,Los Cóndores,590,350,-240
Costa Mar,Higueras,590,350,-240
Costa Mar,El Arenal,590,350,-240
Costa Mar,Mercado,590,350,-240
Costa Mar,Juan Pablo II,510,330,-180
Costa Mar,Diagonal Biobío,510,290,-220
Costa Mar,Alborada,510,290,-220
Costa Mar,El Parque,430,330,-100
Costa Mar,Lomas Coloradas,430,330,-100
Costa Mar,C. Raúl Silva H.,430,330,-100
Costa Mar,Hito Galvarino,610,340,-270
Costa Mar,Los Canelos,610,400,-210
Costa Mar,Huinca,630,410,-220
Costa Mar,Cristo Redentor,630,420,-210
Costa Mar,Laguna Quiñenco,650,420,-230
Costa Mar,Intermodal Coronel,650,500,-150
El Parque,Hualqui,600,370,-230
El Parque,La Leonera,590,370,-220
El Parque,Manquimávida,590,370,-220
El Parque,Pedro Medina,590,370,-220
El Parque,Chiguayante,590,370,-220
El Parque,Concepción,570,350,-220
El Parque,Lorenzo Arenas,570,350,-220
El Parque,UTFSM,590,360,-230
El Parque,Los Cóndores,590,370,-220
El Parque,Higueras,590,370,-220
El Parque,El Arenal,590,370,-220
El Parque,Mercado,590,370,-220
El Parque,Juan Pablo II,510,350,-160
El Parque,Diagonal Biobío,510,330,-180
El Parque,Alborada,510,330,-180
El Parque,Costa Mar,430,330,-100
El Parque,Lomas Coloradas,430,290,-140
El Parque,C. Raúl Silva H.,430,290,-140
El Parque,Hito Galvarino,610,300,-310
El Parque,Los Canelos,610,370,-240
El Parque,Huinca,630,380,-250
El Parque,Cristo Redentor,630,400,-230
El Parque,Laguna Quiñenco,650,400,-250
El Parque,Intermodal Coronel,650,410,-240
Lomas Coloradas,Hualqui,600,370,-230
Lomas Coloradas,La Leonera,590,370,-220
Lomas Coloradas,Manquimávida,590,370,-220
Lomas Coloradas,Pedro Medina,590,370,-220
Lomas Coloradas,Chiguayante,590,370,-220
Lomas Coloradas,Concepción,570,350,-220
Lomas Coloradas,Lorenzo Arenas,570,350,-220
Lomas Coloradas,UTFSM,590,360,-230
Lomas Coloradas,Los Cóndores,590,370,-220
Lomas Coloradas,Higueras,590,370,-220
Lomas Coloradas,El Arenal,590,370,-220
Lomas Coloradas,Mercado,590,370,-220
Lomas Coloradas,Juan Pablo II,510,350,-160
Lomas Coloradas,Diagonal Biobío,510,330,-180
Lomas Coloradas,Alborada,510,330,-180
Lomas Coloradas,Costa Mar,430,330,-100
Lomas Coloradas,El Parque,430,290,-140
Lomas Coloradas,C. Raúl Silva H.,430,290,-140
Lomas Coloradas,Hito Galvarino,610,300,-310
Lomas Coloradas,Los Canelos,610,370,-240
Lomas Coloradas,Huinca,630,380,-250
Lomas Coloradas,Cristo Redentor,630,400,-230
Lomas Coloradas,Laguna Quiñenco,650,400,-250
Lomas Coloradas,Intermodal Coronel,650,410,-240
C. Raúl Silva H.,Hualqui,600,370,-230
C. Raúl Silva H.,La Leonera,590,370,-220
C. Raúl Silva H.,Manquimávida,590,370,-220
C. Raúl Silva H.,Pedro Medina,590,370,-220
C. Raúl Silva H.,Chiguayante,590,370,-220
C. Raúl Silva H.,Concepción,570,350,-220
C. Raúl Silva H.,Lorenzo Arenas,570,350,-220
C. Raúl Silva H.,UTFSM,590,360,-230
C. Raúl Silva H.,Los Cóndores,590,370,-220
C. Raúl Silva H.,Higueras,590,370,-220
C. Raúl Silva H.,El Arenal,590,370,-220
C. Raúl Silva H.,Mercado,590,370,-220
C. Raúl Silva H.,Juan Pablo II,510,350,-160
C. Raúl Silva H.,Diagonal Biobío,510,330,-180
C. Raúl Silva H.,Alborada,510,330,-180
C. Raúl Silva H.,Costa Mar,430,330,-100
C. Raúl Silva H.,El Parque,430,290,-140
C. Raúl Silva H.,Lomas Coloradas,430,290,-140
C. Raúl Silva H.,Hito Galvarino,610,300,-310
C. Raúl Silva H.,Los Canelos,610,370,-240
C. Raúl Silva H.,Huinca,630,380,-250
C. Raúl Silva H.,Cristo Redentor,630,400,-230
