tipo_pasajero,matriz_tarifaria_aplicada,origen,destino,tarifa
normal,Matriz Tarifaria Adulto,Manquimávida,Laja,2270.0
normal,Matriz Tarifaria Adulto,La Leonera,Mercado,580.0
normal,Matriz Tarifaria Adulto,La Leonera,El Arenal,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Higueras,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,La Leonera,UTFSM,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Concepción,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,La Leonera,La Leonera,0.0
normal,Matriz Tarifaria Adulto,La Leonera,Hualqui,580.0
normal,Matriz Tarifaria Adulto,La Leonera,Quilacoya,1080.0
normal,Matriz Tarifaria Adulto,La Leonera,San Miguel,1080.0
normal,Matriz Tarifaria Adulto,La Leonera,Unihue,1250.0
normal,Matriz Tarifaria Adulto,La Leonera,Valle Chanco,1250.0
normal,Matriz Tarifaria Adulto,La Leonera,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,La Leonera,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,La Leonera,Gomero,1360.0
normal,Matriz Tarifaria Adulto,La Leonera,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,La Leonera,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,La Leonera,Laja,2270.0
normal,Matriz Tarifaria Adulto,Hualqui,Mercado,580.0
normal,Matriz Tarifaria Adulto,Hualqui,El Arenal,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Higueras,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Los Cóndores,580.0
normal,Matriz Tarifaria Adulto,Hualqui,UTFSM,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Lorenzo Arenas,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Concepción,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Chiguayante,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Pedro Medina,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Manquimávida,580.0
normal,Matriz Tarifaria Adulto,Hualqui,La Leonera,580.0
normal,Matriz Tarifaria Adulto,Hualqui,Hualqui,0.0
normal,Matriz Tarifaria Adulto,Hualqui,Quilacoya,680.0
normal,Matriz Tarifaria Adulto,Hualqui,San Miguel,680.0
normal,Matriz Tarifaria Adulto,Hualqui,Unihue,1250.0
normal,Matriz Tarifaria Adulto,Hualqui,Valle Chanco,1250.0
normal,Matriz Tarifaria Adulto,Hualqui,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,Hualqui,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,Hualqui,Gomero,1360.0
normal,Matriz Tarifaria Adulto,Hualqui,Buenuraqui,2120.0
normal,Matriz Tarifaria Adulto,Hualqui,San Rosendo,2270.0
normal,Matriz Tarifaria Adulto,Hualqui,Laja,2270.0
normal,Matriz Tarifaria Adulto,Quilacoya,Mercado,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,El Arenal,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Higueras,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Los Cóndores,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,UTFSM,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Lorenzo Arenas,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Concepción,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Chiguayante,1220.0
normal,Matriz Tarifaria Adulto,Quilacoya,Pedro Medina,1080.0
normal,Matriz Tarifaria Adulto,Quilacoya,Manquimávida,1080.0
normal,Matriz Tarifaria Adulto,Quilacoya,La Leonera,1080.0
normal,Matriz Tarifaria Adulto,Quilacoya,Hualqui,680.0
normal,Matriz Tarifaria Adulto,Quilacoya,Quilacoya,0.0
normal,Matriz Tarifaria Adulto,Quilacoya,San Miguel,680.0
normal,Matriz Tarifaria Adulto,Quilacoya,Unihue,680.0
normal,Matriz Tarifaria Adulto,Quilacoya,Valle Chanco,1250.0
normal,Matriz Tarifaria Adulto,Quilacoya,Los Acacios,1250.0
normal,Matriz Tarifaria Adulto,Quilacoya,Talcamávida,1250.0
normal,Matriz Tarifaria Adulto,Quilacoya,Gomero,1250.0
normal,Matriz Tarifaria Adulto,Quilacoya,Buenuraqui,1920.0
normal,Matriz Tarifaria Adulto,Quilacoya,San Rosendo,1920.0
normal,Matriz Tarifaria Adulto,Quilacoya,Laja,1920.0
normal,Matriz Tarifaria Adulto,San Miguel,Mercado,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,El Arenal,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Higueras,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Los Cóndores,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,UTFSM,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Lorenzo Arenas,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Concepción,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Chiguayante,1220.0
normal,Matriz Tarifaria Adulto,San Miguel,Pedro Medina,1080.0
normal,Matriz Tarifaria Adulto,San Miguel,Manquimávida,1080.0
normal,Matriz Tarifaria Adulto,San Miguel,La Leonera,1080.0
normal,Matriz Tarifaria Adulto,San Miguel,Hualqui,680.0
normal,Matriz Tarifaria Adulto,San Miguel,Quilacoya,680.0
normal,Matriz Tarifaria Adulto,San Miguel,San Miguel,0.0
normal,Matriz Tarifaria Adulto,San Miguel,Unihue,680.0
normal,Matriz Tarifaria Adulto,San Miguel,Valle Chanco,680.0
