anio_base,mes,periodo_base,tipo_pasajero,nombre_visual,origen,destino,viajes_observados
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Chiguayante,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Pedro Medina,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Manquimávida,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,La Leonera,0.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Hualqui,7.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Quilacoya,11.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,San Miguel,4.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Unihue,5.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Valle Chanco,2.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Los Acacios,4.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Talcamávida,16.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Gomero,2.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Buenuraqui,3.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,San Rosendo,18.0
2024,1,2024-01,normal,Normal,Lorenzo Arenas,Laja,25.0
2024,1,2024-01,normal,Normal,Concepción,Mercado,3.0
2024,1,2024-01,normal,Normal,Concepción,El Arenal,0.0
2024,1,2024-01,normal,Normal,Concepción,Higueras,0.0
2024,1,2024-01,normal,Normal,Concepción,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,Concepción,UTFSM,0.0
2024,1,2024-01,normal,Normal,Concepción,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Concepción,Concepción,0.0
2024,1,2024-01,normal,Normal,Concepción,Chiguayante,4.0
2024,1,2024-01,normal,Normal,Concepción,Pedro Medina,4.0
2024,1,2024-01,normal,Normal,Concepción,Manquimávida,1.0
2024,1,2024-01,normal,Normal,Concepción,La Leonera,5.0
2024,1,2024-01,normal,Normal,Concepción,Hualqui,98.0
2024,1,2024-01,normal,Normal,Concepción,Quilacoya,620.0
2024,1,2024-01,normal,Normal,Concepción,San Miguel,141.0
2024,1,2024-01,normal,Normal,Concepción,Unihue,462.0
2024,1,2024-01,normal,Normal,Concepción,Valle Chanco,69.0
2024,1,2024-01,normal,Normal,Concepción,Los Acacios,339.0
2024,1,2024-01,normal,Normal,Concepción,Talcamávida,678.0
2024,1,2024-01,normal,Normal,Concepción,Gomero,41.0
2024,1,2024-01,normal,Normal,Concepción,Buenuraqui,111.0
2024,1,2024-01,normal,Normal,Concepción,San Rosendo,1044.0
2024,1,2024-01,normal,Normal,Concepción,Laja,3101.0
2024,1,2024-01,normal,Normal,Chiguayante,Mercado,3.0
2024,1,2024-01,normal,Normal,Chiguayante,El Arenal,1.0
2024,1,2024-01,normal,Normal,Chiguayante,Higueras,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,Chiguayante,UTFSM,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Concepción,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Chiguayante,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Pedro Medina,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Manquimávida,0.0
2024,1,2024-01,normal,Normal,Chiguayante,La Leonera,0.0
2024,1,2024-01,normal,Normal,Chiguayante,Hualqui,1.0
2024,1,2024-01,normal,Normal,Chiguayante,Quilacoya,61.0
2024,1,2024-01,normal,Normal,Chiguayante,San Miguel,6.0
2024,1,2024-01,normal,Normal,Chiguayante,Unihue,50.0
2024,1,2024-01,normal,Normal,Chiguayante,Valle Chanco,8.0
2024,1,2024-01,normal,Normal,Chiguayante,Los Acacios,49.0
2024,1,2024-01,normal,Normal,Chiguayante,Talcamávida,47.0
2024,1,2024-01,normal,Normal,Chiguayante,Gomero,3.0
2024,1,2024-01,normal,Normal,Chiguayante,Buenuraqui,14.0
2024,1,2024-01,normal,Normal,Chiguayante,San Rosendo,43.0
2024,1,2024-01,normal,Normal,Chiguayante,Laja,115.0
2024,1,2024-01,normal,Normal,Pedro Medina,Mercado,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,El Arenal,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Higueras,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,UTFSM,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Concepción,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Chiguayante,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Pedro Medina,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Manquimávida,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,La Leonera,0.0
2024,1,2024-01,normal,Normal,Pedro Medina,Hualqui,2.0
2024,1,2024-01,normal,Normal,Pedro Medina,Quilacoya,37.0
2024,1,2024-01,normal,Normal,Pedro Medina,San Miguel,21.0
2024,1,2024-01,normal,Normal,Pedro Medina,Unihue,27.0
2024,1,2024-01,normal,Normal,Pedro Medina,Valle Chanco,23.0
2024,1,2024-01,normal,Normal,Pedro Medina,Los Acacios,28.0
2024,1,2024-01,normal,Normal,Pedro Medina,Talcamávida,47.0
2024,1,2024-01,normal,Normal,Pedro Medina,Gomero,3.0
2024,1,2024-01,normal,Normal,Pedro Medina,Buenuraqui,8.0
2024,1,2024-01,normal,Normal,Pedro Medina,San Rosendo,19.0
2024,1,2024-01,normal,Normal,Pedro Medina,Laja,23.0
2024,1,2024-01,normal,Normal,Manquimávida,Mercado,0.0
2024,1,2024-01,normal,Normal,Manquimávida,El Arenal,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Higueras,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,Manquimávida,UTFSM,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Lorenzo Arenas,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Concepción,10.0
2024,1,2024-01,normal,Normal,Manquimávida,Chiguayante,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Pedro Medina,2.0
2024,1,2024-01,normal,Normal,Manquimávida,Manquimávida,0.0
2024,1,2024-01,normal,Normal,Manquimávida,La Leonera,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Hualqui,2.0
2024,1,2024-01,normal,Normal,Manquimávida,Quilacoya,23.0
2024,1,2024-01,normal,Normal,Manquimávida,San Miguel,13.0
2024,1,2024-01,normal,Normal,Manquimávida,Unihue,16.0
2024,1,2024-01,normal,Normal,Manquimávida,Valle Chanco,11.0
2024,1,2024-01,normal,Normal,Manquimávida,Los Acacios,17.0
2024,1,2024-01,normal,Normal,Manquimávida,Talcamávida,40.0
2024,1,2024-01,normal,Normal,Manquimávida,Gomero,0.0
2024,1,2024-01,normal,Normal,Manquimávida,Buenuraqui,3.0
2024,1,2024-01,normal,Normal,Manquimávida,San Rosendo,14.0
2024,1,2024-01,normal,Normal,Manquimávida,Laja,25.0
2024,1,2024-01,normal,Normal,La Leonera,Mercado,0.0
2024,1,2024-01,normal,Normal,La Leonera,El Arenal,0.0
2024,1,2024-01,normal,Normal,La Leonera,Higueras,0.0
2024,1,2024-01,normal,Normal,La Leonera,Los Cóndores,0.0
2024,1,2024-01,normal,Normal,La Leonera,UTFSM,0.0
2024,1,2024-01,normal,Normal,La Leonera,Lorenzo Arenas,2.0
2024,1,2024-01,normal,Normal,La Leonera,Concepción,10.0
2024,1,2024-01,normal,Normal,La Leonera,Chiguayante,0.0
2024,1,2024-01,normal,Normal,La Leonera,Pedro Medina,0.0
2024,1,2024-01,normal,Normal,La Leonera,Manquimávida,0.0
2024,1,2024-01,normal,Normal,La Leonera,La Leonera,0.0
2024,1,2024-01,normal,Normal,La Leonera,Hualqui,0.0
2024,1,2024-01,normal,Normal,La Leonera,Quilacoya,81.0
2024,1,2024-01,normal,Normal,La Leonera,San Miguel,18.0
2024,1,2024-01,normal,Normal,La Leonera,Unihue,65.0
2024,1,2024-01,normal,Normal,La Leonera,Valle Chanco,50.0
2024,1,2024-01,normal,Normal,La Leonera,Los Acacios,83.0
2024,1,2024-01,normal,Normal,La Leonera,Talcamávida,81.0
2024,1,2024-01,normal,Normal,La Leonera,Gomero,6.0
2024,1,2024-01,normal,Normal,La Leonera,Buenuraqui,8.0
2024,1,2024-01,normal,Normal,La Leonera,San Rosendo,26.0
2024,1,2024-01,normal,Normal,La Leonera,Laja,64.0
2024,1,2024-01,normal,Normal,Hualqui,Mercado,17.0
2024,1,2024-01,normal,Normal,Hualqui,El Arenal,3.0
2024,1,2024-01,normal,Normal,Hualqui,Higueras,0.0
2024,1,2024-01,normal,Normal,Hualqui,Los Cóndores,6.0
2024,1,2024-01,normal,Normal,Hualqui,UTFSM,11.0
2024,1,2024-01,normal,Normal,Hualqui,Lorenzo Arenas,2.0
2024,1,2024-01,normal,Normal,Hualqui,Concepción,25.0
2024,1,2024-01,normal,Normal,Hualqui,Chiguayante,1.0
2024,1,2024-01,normal,Normal,Hualqui,Pedro Medina,3.0
2024,1,2024-01,normal,Normal,Hualqui,Manquimávida,0.0
2024,1,2024-01,normal,Normal,Hualqui,La Leonera,0.0
2024,1,2024-01,normal,Normal,Hualqui,Hualqui,0.0
2024,1,2024-01,normal,Normal,Hualqui,Quilacoya,126.0
2024,1,2024-01,normal,Normal,Hualqui,San Miguel,41.0
2024,1,2024-01,normal,Normal,Hualqui,Unihue,113.0
2024,1,2024-01,normal,Normal,Hualqui,Valle Chanco,18.0
2024,1,2024-01,normal,Normal,Hualqui,Los Acacios,142.0
2024,1,2024-01,normal,Normal,Hualqui,Talcamávida,137.0
2024,1,2024-01,normal,Normal,Hualqui,Gomero,24.0
2024,1,2024-01,normal,Normal,Hualqui,Buenuraqui,11.0
2024,1,2024-01,normal,Normal,Hualqui,San Rosendo,32.0
2024,1,2024-01,normal,Normal,Hualqui,Laja,124.0
2024,1,2024-01,normal,Normal,Quilacoya,Mercado,62.0
2024,1,2024-01,normal,Normal,Quilacoya,El Arenal,16.0
2024,1,2024-01,normal,Normal,Quilacoya,Higueras,5.0
2024,1,2024-01,normal,Normal,Quilacoya,Los Cóndores,13.0
2024,1,2024-01,normal,Normal,Quilacoya,UTFSM,39.0
2024,1,2024-01,normal,Normal,Quilacoya,Lorenzo Arenas,11.0
2024,1,2024-01,normal,Normal,Quilacoya,Concepción,599.0
2024,1,2024-01,normal,Normal,Quilacoya,Chiguayante,71.0
2024,1,2024-01,normal,Normal,Quilacoya,Pedro Medina,26.0
2024,1,2024-01,normal,Normal,Quilacoya,Manquimávida,40.0
2024,1,2024-01,normal,Normal,Quilacoya,La Leonera,121.0
2024,1,2024-01,normal,Normal,Quilacoya,Hualqui,177.0
2024,1,2024-01,normal,Normal,Quilacoya,Quilacoya,0.0
2024,1,2024-01,normal,Normal,Quilacoya,San Miguel,0.0
2024,1,2024-01,normal,Normal,Quilacoya,Unihue,9.0
2024,1,2024-01,normal,Normal,Quilacoya,Valle Chanco,2.0
2024,1,2024-01,normal,Normal,Quilacoya,Los Acacios,3.0
2024,1,2024-01,normal,Normal,Quilacoya,Talcamávida,2.0
2024,1,2024-01,normal,Normal,Quilacoya,Gomero,3.0
2024,1,2024-01,normal,Normal,Quilacoya,Buenuraqui,4.0
2024,1,2024-01,normal,Normal,Quilacoya,San Rosendo,14.0
2024,1,2024-01,normal,Normal,Quilacoya,Laja,13.0
2024,1,2024-01,normal,Normal,San Miguel,Mercado,11.0
2024,1,2024-01,normal,Normal,San Miguel,El Arenal,22.0
2024,1,2024-01,normal,Normal,San Miguel,Higueras,4.0
2024,1,2024-01,normal,Normal,San Miguel,Los Cóndores,5.0
2024,1,2024-01,normal,Normal,San Miguel,UTFSM,5.0
2024,1,2024-01,normal,Normal,San Miguel,Lorenzo Arenas,4.0
2024,1,2024-01,normal,Normal,San Miguel,Concepción,155.0
2024,1,2024-01,normal,Normal,San Miguel,Chiguayante,10.0
2024,1,2024-01,normal,Normal,San Miguel,Pedro Medina,23.0
2024,1,2024-01,normal,Normal,San Miguel,Manquimávida,5.0
2024,1,2024-01,normal,Normal,San Miguel,La Leonera,18.0
2024,1,2024-01,normal,Normal,San Miguel,Hualqui,46.0
2024,1,2024-01,normal,Normal,San Miguel,Quilacoya,0.0
2024,1,2024-01,normal,Normal,San Miguel,San Miguel,0.0
2024,1,2024-01,normal,Normal,San Miguel,Unihue,1.0
2024,1,2024-01,normal,Normal,San Miguel,Valle Chanco,0.0
2024,1,2024-01,normal,Normal,San Miguel,Los Acacios,0.0
2024,1,2024-01,normal,Normal,San Miguel,Talcamávida,0.0
2024,1,2024-01,normal,Normal,San Miguel,Gomero,0.0
2024,1,2024-01,normal,Normal,San Miguel,Buenuraqui,0.0
2024,1,2024-01,normal,Normal,San Miguel,San Rosendo,3.0
2024,1,2024-01,normal,Normal,San Miguel,Laja,10.0
2024,1,2024-01,normal,Normal,Unihue,Mercado,48.0
2024,1,2024-01,normal,Normal,Unihue,El Arenal,15.0
2024,1,2024-01,normal,Normal,Unihue,Higueras,13.0
2024,1,2024-01,normal,Normal,Unihue,Los Cóndores,11.0
2024,1,2024-01,normal,Normal,Unihue,UTFSM,55.0
2024,1,2024-01,normal,Normal,Unihue,Lorenzo Arenas,7.0
2024,1,2024-01,normal,Normal,Unihue,Concepción,442.0
2024,1,2024-01,normal,Normal,Unihue,Chiguayante,54.0
2024,1,2024-01,normal,Normal,Unihue,Pedro Medina,55.0
2024,1,2024-01,normal,Normal,Unihue,Manquimávida,21.0
2024,1,2024-01,normal,Normal,Unihue,La Leonera,91.0
2024,1,2024-01,normal,Normal,Unihue,Hualqui,132.0
2024,1,2024-01,normal,Normal,Unihue,Quilacoya,13.0
2024,1,2024-01,normal,Normal,Unihue,San Miguel,1.0
2024,1,2024-01,normal,Normal,Unihue,Unihue,0.0
2024,1,2024-01,normal,Normal,Unihue,Valle Chanco,1.0
2024,1,2024-01,normal,Normal,Unihue,Los Acacios,3.0
2024,1,2024-01,normal,Normal,Unihue,Talcamávida,6.0
2024,1,2024-01,normal,Normal,Unihue,Gomero,6.0
2024,1,2024-01,normal,Normal,Unihue,Buenuraqui,0.0
2024,1,2024-01,normal,Normal,Unihue,San Rosendo,6.0
2024,1,2024-01,normal,Normal,Unihue,Laja,24.0
2024,1,2024-01,normal,Normal,Valle Chanco,Mercado,6.0
2024,1,2024-01,normal,Normal,Valle Chanco,El Arenal,4.0
2024,1,2024-01,normal,Normal,Valle Chanco,Higueras,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Los Cóndores,12.0
2024,1,2024-01,normal,Normal,Valle Chanco,UTFSM,5.0
2024,1,2024-01,normal,Normal,Valle Chanco,Lorenzo Arenas,2.0
2024,1,2024-01,normal,Normal,Valle Chanco,Concepción,59.0
2024,1,2024-01,normal,Normal,Valle Chanco,Chiguayante,19.0
2024,1,2024-01,normal,Normal,Valle Chanco,Pedro Medina,26.0
2024,1,2024-01,normal,Normal,Valle Chanco,Manquimávida,5.0
2024,1,2024-01,normal,Normal,Valle Chanco,La Leonera,39.0
2024,1,2024-01,normal,Normal,Valle Chanco,Hualqui,26.0
2024,1,2024-01,normal,Normal,Valle Chanco,Quilacoya,1.0
2024,1,2024-01,normal,Normal,Valle Chanco,San Miguel,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Unihue,2.0
2024,1,2024-01,normal,Normal,Valle Chanco,Valle Chanco,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Los Acacios,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Talcamávida,3.0
2024,1,2024-01,normal,Normal,Valle Chanco,Gomero,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Buenuraqui,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,San Rosendo,0.0
2024,1,2024-01,normal,Normal,Valle Chanco,Laja,11.0
2024,1,2024-01,normal,Normal,Los Acacios,Mercado,30.0
2024,1,2024-01,normal,Normal,Los Acacios,El Arenal,11.0
2024,1,2024-01,normal,Normal,Los Acacios,Higueras,8.0
2024,1,2024-01,normal,Normal,Los Acacios,Los Cóndores,1.0
2024,1,2024-01,normal,Normal,Los Acacios,UTFSM,19.0
2024,1,2024-01,normal,Normal,Los Acacios,Lorenzo Arenas,8.0
2024,1,2024-01,normal,Normal,Los Acacios,Concepción,351.0
2024,1,2024-01,normal,Normal,Los Acacios,Chiguayante,49.0
2024,1,2024-01,normal,Normal,Los Acacios,Pedro Medina,37.0
2024,1,2024-01,normal,Normal,Los Acacios,Manquimávida,25.0
2024,1,2024-01,normal,Normal,Los Acacios,La Leonera,65.0
2024,1,2024-01,normal,Normal,Los Acacios,Hualqui,133.0
2024,1,2024-01,normal,Normal,Los Acacios,Quilacoya,7.0
2024,1,2024-01,normal,Normal,Los Acacios,San Miguel,1.0
2024,1,2024-01,normal,Normal,Los Acacios,Unihue,8.0
2024,1,2024-01,normal,Normal,Los Acacios,Valle Chanco,0.0
2024,1,2024-01,normal,Normal,Los Acacios,Los Acacios,0.0
2024,1,2024-01,normal,Normal,Los Acacios,Talcamávida,0.0
2024,1,2024-01,normal,Normal,Los Acacios,Gomero,3.0
2024,1,2024-01,normal,Normal,Los Acacios,Buenuraqui,6.0
2024,1,2024-01,normal,Normal,Los Acacios,San Rosendo,6.0
2024,1,2024-01,normal,Normal,Los Acacios,Laja,56.0
2024,1,2024-01,normal,Normal,Talcamávida,Mercado,45.0
2024,1,2024-01,normal,Normal,Talcamávida,El Arenal,23.0
2024,1,2024-01,normal,Normal,Talcamávida,Higueras,25.0
2024,1,2024-01,normal,Normal,Talcamávida,Los Cóndores,25.0
2024,1,2024-01,normal,Normal,Talcamávida,UTFSM,26.0
2024,1,2024-01,normal,Normal,Talcamávida,Lorenzo Arenas,26.0
2024,1,2024-01,normal,Normal,Talcamávida,Concepción,488.0
2024,1,2024-01,normal,Normal,Talcamávida,Chiguayante,54.0
2024,1,2024-01,normal,Normal,Talcamávida,Pedro Medina,81.0
2024,1,2024-01,normal,Normal,Talcamávida,Manquimávida,27.0
2024,1,2024-01,normal,Normal,Talcamávida,La Leonera,85.0
2024,1,2024-01,normal,Normal,Talcamávida,Hualqui,160.0
2024,1,2024-01,normal,Normal,Talcamávida,Quilacoya,6.0
2024,1,2024-01,normal,Normal,Talcamávida,San Miguel,0.0
