mes,tipo_pasajero,nombre_visual,origen,destino,viajes_observados,participacion_od_tipo_mes
1,normal,Normal,El Arenal,La Leonera,0.0,0.0
1,normal,Normal,El Arenal,Hualqui,23.0,0.0010893246187363835
1,normal,Normal,El Arenal,Quilacoya,12.0,0.0005683432793407218
1,normal,Normal,El Arenal,San Miguel,21.0,0.0009946007388462632
1,normal,Normal,El Arenal,Unihue,17.0,0.0008051529790660225
1,normal,Normal,El Arenal,Valle Chanco,4.0,0.0001894477597802406
1,normal,Normal,El Arenal,Los Acacios,1.0,4.736193994506015e-05
1,normal,Normal,El Arenal,Talcamávida,21.0,0.0009946007388462632
1,normal,Normal,El Arenal,Gomero,1.0,4.736193994506015e-05
1,normal,Normal,El Arenal,Buenuraqui,7.0,0.00033153357961542105
1,normal,Normal,El Arenal,San Rosendo,9.0,0.00042625745950554135
1,normal,Normal,El Arenal,Laja,26.0,0.0012314104385715639
1,normal,Normal,Higueras,Mercado,0.0,0.0
1,normal,Normal,Higueras,El Arenal,0.0,0.0
1,normal,Normal,Higueras,Higueras,0.0,0.0
1,normal,Normal,Higueras,Los Cóndores,0.0,0.0
1,normal,Normal,Higueras,UTFSM,0.0,0.0
1,normal,Normal,Higueras,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Higueras,Concepción,0.0,0.0
1,normal,Normal,Higueras,Chiguayante,1.0,4.736193994506015e-05
1,normal,Normal,Higueras,Pedro Medina,0.0,0.0
1,normal,Normal,Higueras,Manquimávida,0.0,0.0
1,normal,Normal,Higueras,La Leonera,0.0,0.0
1,normal,Normal,Higueras,Hualqui,3.0,0.00014208581983518045
1,normal,Normal,Higueras,Quilacoya,5.0,0.00023680969972530075
1,normal,Normal,Higueras,San Miguel,2.0,9.47238798901203e-05
1,normal,Normal,Higueras,Unihue,13.0,0.0006157052192857819
1,normal,Normal,Higueras,Valle Chanco,2.0,9.47238798901203e-05
1,normal,Normal,Higueras,Los Acacios,1.0,4.736193994506015e-05
1,normal,Normal,Higueras,Talcamávida,15.0,0.0007104290991759022
1,normal,Normal,Higueras,Gomero,0.0,0.0
1,normal,Normal,Higueras,Buenuraqui,4.0,0.0001894477597802406
1,normal,Normal,Higueras,San Rosendo,7.0,0.00033153357961542105
1,normal,Normal,Higueras,Laja,9.0,0.00042625745950554135
1,normal,Normal,Los Cóndores,Mercado,1.0,4.736193994506015e-05
1,normal,Normal,Los Cóndores,El Arenal,0.0,0.0
1,normal,Normal,Los Cóndores,Higueras,0.0,0.0
1,normal,Normal,Los Cóndores,Los Cóndores,0.0,0.0
1,normal,Normal,Los Cóndores,UTFSM,0.0,0.0
1,normal,Normal,Los Cóndores,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Los Cóndores,Concepción,10.0,0.0004736193994506015
1,normal,Normal,Los Cóndores,Chiguayante,4.0,0.0001894477597802406
1,normal,Normal,Los Cóndores,Pedro Medina,0.0,0.0
1,normal,Normal,Los Cóndores,Manquimávida,0.0,0.0
1,normal,Normal,Los Cóndores,La Leonera,0.0,0.0
1,normal,Normal,Los Cóndores,Hualqui,36.0,0.0017050298380221654
1,normal,Normal,Los Cóndores,Quilacoya,15.0,0.0007104290991759022
1,normal,Normal,Los Cóndores,San Miguel,4.0,0.0001894477597802406
1,normal,Normal,Los Cóndores,Unihue,12.0,0.0005683432793407218
1,normal,Normal,Los Cóndores,Valle Chanco,0.0,0.0
1,normal,Normal,Los Cóndores,Los Acacios,3.0,0.00014208581983518045
1,normal,Normal,Los Cóndores,Talcamávida,7.0,0.00033153357961542105
1,normal,Normal,Los Cóndores,Gomero,0.0,0.0
1,normal,Normal,Los Cóndores,Buenuraqui,3.0,0.00014208581983518045
1,normal,Normal,Los Cóndores,San Rosendo,11.0,0.0005209813393956616
1,normal,Normal,Los Cóndores,Laja,32.0,0.0015155820782419248
1,normal,Normal,UTFSM,Mercado,0.0,0.0
1,normal,Normal,UTFSM,El Arenal,0.0,0.0
1,normal,Normal,UTFSM,Higueras,0.0,0.0
1,normal,Normal,UTFSM,Los Cóndores,0.0,0.0
1,normal,Normal,UTFSM,UTFSM,0.0,0.0
1,normal,Normal,UTFSM,Lorenzo Arenas,0.0,0.0
1,normal,Normal,UTFSM,Concepción,0.0,0.0
1,normal,Normal,UTFSM,Chiguayante,1.0,4.736193994506015e-05
1,normal,Normal,UTFSM,Pedro Medina,1.0,4.736193994506015e-05
1,normal,Normal,UTFSM,Manquimávida,0.0,0.0
1,normal,Normal,UTFSM,La Leonera,1.0,4.736193994506015e-05
1,normal,Normal,UTFSM,Hualqui,9.0,0.00042625745950554135
1,normal,Normal,UTFSM,Quilacoya,30.0,0.0014208581983518045
1,normal,Normal,UTFSM,San Miguel,4.0,0.0001894477597802406
1,normal,Normal,UTFSM,Unihue,41.0,0.0019418395377474662
1,normal,Normal,UTFSM,Valle Chanco,8.0,0.0003788955195604812
1,normal,Normal,UTFSM,Los Acacios,6.0,0.0002841716396703609
1,normal,Normal,UTFSM,Talcamávida,19.0,0.0008998768589561428
1,normal,Normal,UTFSM,Gomero,1.0,4.736193994506015e-05
1,normal,Normal,UTFSM,Buenuraqui,3.0,0.00014208581983518045
1,normal,Normal,UTFSM,San Rosendo,30.0,0.0014208581983518045
1,normal,Normal,UTFSM,Laja,102.0,0.004830917874396135
1,normal,Normal,Lorenzo Arenas,Mercado,0.0,0.0
1,normal,Normal,Lorenzo Arenas,El Arenal,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Higueras,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Los Cóndores,0.0,0.0
1,normal,Normal,Lorenzo Arenas,UTFSM,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Concepción,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Chiguayante,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Pedro Medina,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Manquimávida,0.0,0.0
1,normal,Normal,Lorenzo Arenas,La Leonera,0.0,0.0
1,normal,Normal,Lorenzo Arenas,Hualqui,7.0,0.00033153357961542105
1,normal,Normal,Lorenzo Arenas,Quilacoya,11.0,0.0005209813393956616
1,normal,Normal,Lorenzo Arenas,San Miguel,4.0,0.0001894477597802406
1,normal,Normal,Lorenzo Arenas,Unihue,5.0,0.00023680969972530075
1,normal,Normal,Lorenzo Arenas,Valle Chanco,2.0,9.47238798901203e-05
1,normal,Normal,Lorenzo Arenas,Los Acacios,4.0,0.0001894477597802406
1,normal,Normal,Lorenzo Arenas,Talcamávida,16.0,0.0007577910391209624
1,normal,Normal,Lorenzo Arenas,Gomero,2.0,9.47238798901203e-05
1,normal,Normal,Lorenzo Arenas,Buenuraqui,3.0,0.00014208581983518045
1,normal,Normal,Lorenzo Arenas,San Rosendo,18.0,0.0008525149190110827
1,normal,Normal,Lorenzo Arenas,Laja,25.0,0.0011840484986265038
1,normal,Normal,Concepción,Mercado,3.0,0.00014208581983518045
1,normal,Normal,Concepción,El Arenal,0.0,0.0
1,normal,Normal,Concepción,Higueras,0.0,0.0
1,normal,Normal,Concepción,Los Cóndores,0.0,0.0
1,normal,Normal,Concepción,UTFSM,0.0,0.0
1,normal,Normal,Concepción,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Concepción,Concepción,0.0,0.0
1,normal,Normal,Concepción,Chiguayante,4.0,0.0001894477597802406
1,normal,Normal,Concepción,Pedro Medina,4.0,0.0001894477597802406
1,normal,Normal,Concepción,Manquimávida,1.0,4.736193994506015e-05
1,normal,Normal,Concepción,La Leonera,5.0,0.00023680969972530075
1,normal,Normal,Concepción,Hualqui,98.0,0.004641470114615895
1,normal,Normal,Concepción,Quilacoya,620.0,0.029364402765937294
1,normal,Normal,Concepción,San Miguel,141.0,0.006678033532253481
1,normal,Normal,Concepción,Unihue,462.0,0.02188121625461779
1,normal,Normal,Concepción,Valle Chanco,69.0,0.0032679738562091504
1,normal,Normal,Concepción,Los Acacios,339.0,0.01605569764137539
1,normal,Normal,Concepción,Talcamávida,678.0,0.03211139528275078
1,normal,Normal,Concepción,Gomero,41.0,0.0019418395377474662
1,normal,Normal,Concepción,Buenuraqui,111.0,0.0052571753339016765
1,normal,Normal,Concepción,San Rosendo,1044.0,0.0494458653026428
1,normal,Normal,Concepción,Laja,3101.0,0.14686937576963152
1,normal,Normal,Chiguayante,Mercado,3.0,0.00014208581983518045
1,normal,Normal,Chiguayante,El Arenal,1.0,4.736193994506015e-05
1,normal,Normal,Chiguayante,Higueras,0.0,0.0
1,normal,Normal,Chiguayante,Los Cóndores,0.0,0.0
1,normal,Normal,Chiguayante,UTFSM,0.0,0.0
1,normal,Normal,Chiguayante,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Chiguayante,Concepción,0.0,0.0
1,normal,Normal,Chiguayante,Chiguayante,0.0,0.0
1,normal,Normal,Chiguayante,Pedro Medina,0.0,0.0
1,normal,Normal,Chiguayante,Manquimávida,0.0,0.0
1,normal,Normal,Chiguayante,La Leonera,0.0,0.0
1,normal,Normal,Chiguayante,Hualqui,1.0,4.736193994506015e-05
1,normal,Normal,Chiguayante,Quilacoya,61.0,0.0028890783366486692
1,normal,Normal,Chiguayante,San Miguel,6.0,0.0002841716396703609
1,normal,Normal,Chiguayante,Unihue,50.0,0.0023680969972530077
1,normal,Normal,Chiguayante,Valle Chanco,8.0,0.0003788955195604812
1,normal,Normal,Chiguayante,Los Acacios,49.0,0.0023207350573079474
1,normal,Normal,Chiguayante,Talcamávida,47.0,0.002226011177417827
1,normal,Normal,Chiguayante,Gomero,3.0,0.00014208581983518045
1,normal,Normal,Chiguayante,Buenuraqui,14.0,0.0006630671592308421
1,normal,Normal,Chiguayante,San Rosendo,43.0,0.0020365634176375863
1,normal,Normal,Chiguayante,Laja,115.0,0.0054466230936819175
1,normal,Normal,Pedro Medina,Mercado,0.0,0.0
1,normal,Normal,Pedro Medina,El Arenal,0.0,0.0
1,normal,Normal,Pedro Medina,Higueras,0.0,0.0
1,normal,Normal,Pedro Medina,Los Cóndores,0.0,0.0
1,normal,Normal,Pedro Medina,UTFSM,0.0,0.0
1,normal,Normal,Pedro Medina,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Pedro Medina,Concepción,0.0,0.0
1,normal,Normal,Pedro Medina,Chiguayante,0.0,0.0
1,normal,Normal,Pedro Medina,Pedro Medina,0.0,0.0
1,normal,Normal,Pedro Medina,Manquimávida,0.0,0.0
1,normal,Normal,Pedro Medina,La Leonera,0.0,0.0
1,normal,Normal,Pedro Medina,Hualqui,2.0,9.47238798901203e-05
1,normal,Normal,Pedro Medina,Quilacoya,37.0,0.0017523917779672256
1,normal,Normal,Pedro Medina,San Miguel,21.0,0.0009946007388462632
1,normal,Normal,Pedro Medina,Unihue,27.0,0.0012787723785166241
1,normal,Normal,Pedro Medina,Valle Chanco,23.0,0.0010893246187363835
1,normal,Normal,Pedro Medina,Los Acacios,28.0,0.0013261343184616842
1,normal,Normal,Pedro Medina,Talcamávida,47.0,0.002226011177417827
1,normal,Normal,Pedro Medina,Gomero,3.0,0.00014208581983518045
1,normal,Normal,Pedro Medina,Buenuraqui,8.0,0.0003788955195604812
1,normal,Normal,Pedro Medina,San Rosendo,19.0,0.0008998768589561428
1,normal,Normal,Pedro Medina,Laja,23.0,0.0010893246187363835
1,normal,Normal,Manquimávida,Mercado,0.0,0.0
1,normal,Normal,Manquimávida,El Arenal,0.0,0.0
1,normal,Normal,Manquimávida,Higueras,0.0,0.0
1,normal,Normal,Manquimávida,Los Cóndores,0.0,0.0
1,normal,Normal,Manquimávida,UTFSM,0.0,0.0
1,normal,Normal,Manquimávida,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Manquimávida,Concepción,10.0,0.0004736193994506015
1,normal,Normal,Manquimávida,Chiguayante,0.0,0.0
1,normal,Normal,Manquimávida,Pedro Medina,2.0,9.47238798901203e-05
1,normal,Normal,Manquimávida,Manquimávida,0.0,0.0
1,normal,Normal,Manquimávida,La Leonera,0.0,0.0
1,normal,Normal,Manquimávida,Hualqui,2.0,9.47238798901203e-05
1,normal,Normal,Manquimávida,Quilacoya,23.0,0.0010893246187363835
1,normal,Normal,Manquimávida,San Miguel,13.0,0.0006157052192857819
1,normal,Normal,Manquimávida,Unihue,16.0,0.0007577910391209624
1,normal,Normal,Manquimávida,Valle Chanco,11.0,0.0005209813393956616
1,normal,Normal,Manquimávida,Los Acacios,17.0,0.0008051529790660225
1,normal,Normal,Manquimávida,Talcamávida,40.0,0.001894477597802406
1,normal,Normal,Manquimávida,Gomero,0.0,0.0
1,normal,Normal,Manquimávida,Buenuraqui,3.0,0.00014208581983518045
1,normal,Normal,Manquimávida,San Rosendo,14.0,0.0006630671592308421
1,normal,Normal,Manquimávida,Laja,25.0,0.0011840484986265038
1,normal,Normal,La Leonera,Mercado,0.0,0.0
1,normal,Normal,La Leonera,El Arenal,0.0,0.0
1,normal,Normal,La Leonera,Higueras,0.0,0.0
1,normal,Normal,La Leonera,Los Cóndores,0.0,0.0
1,normal,Normal,La Leonera,UTFSM,0.0,0.0
1,normal,Normal,La Leonera,Lorenzo Arenas,2.0,9.47238798901203e-05
1,normal,Normal,La Leonera,Concepción,10.0,0.0004736193994506015
1,normal,Normal,La Leonera,Chiguayante,0.0,0.0
1,normal,Normal,La Leonera,Pedro Medina,0.0,0.0
1,normal,Normal,La Leonera,Manquimávida,0.0,0.0
1,normal,Normal,La Leonera,La Leonera,0.0,0.0
1,normal,Normal,La Leonera,Hualqui,0.0,0.0
1,normal,Normal,La Leonera,Quilacoya,81.0,0.0038363171355498722
1,normal,Normal,La Leonera,San Miguel,18.0,0.0008525149190110827
1,normal,Normal,La Leonera,Unihue,65.0,0.00307852609642891
1,normal,Normal,La Leonera,Valle Chanco,50.0,0.0023680969972530077
1,normal,Normal,La Leonera,Los Acacios,83.0,0.003931041015439993
1,normal,Normal,La Leonera,Talcamávida,81.0,0.0038363171355498722
1,normal,Normal,La Leonera,Gomero,6.0,0.0002841716396703609
1,normal,Normal,La Leonera,Buenuraqui,8.0,0.0003788955195604812
1,normal,Normal,La Leonera,San Rosendo,26.0,0.0012314104385715639
1,normal,Normal,La Leonera,Laja,64.0,0.0030311641564838496
1,normal,Normal,Hualqui,Mercado,17.0,0.0008051529790660225
1,normal,Normal,Hualqui,El Arenal,3.0,0.00014208581983518045
1,normal,Normal,Hualqui,Higueras,0.0,0.0
1,normal,Normal,Hualqui,Los Cóndores,6.0,0.0002841716396703609
1,normal,Normal,Hualqui,UTFSM,11.0,0.0005209813393956616
1,normal,Normal,Hualqui,Lorenzo Arenas,2.0,9.47238798901203e-05
1,normal,Normal,Hualqui,Concepción,25.0,0.0011840484986265038
1,normal,Normal,Hualqui,Chiguayante,1.0,4.736193994506015e-05
1,normal,Normal,Hualqui,Pedro Medina,3.0,0.00014208581983518045
1,normal,Normal,Hualqui,Manquimávida,0.0,0.0
1,normal,Normal,Hualqui,La Leonera,0.0,0.0
1,normal,Normal,Hualqui,Hualqui,0.0,0.0
1,normal,Normal,Hualqui,Quilacoya,126.0,0.005967604433077579
1,normal,Normal,Hualqui,San Miguel,41.0,0.0019418395377474662
1,normal,Normal,Hualqui,Unihue,113.0,0.005351899213791797
1,normal,Normal,Hualqui,Valle Chanco,18.0,0.0008525149190110827
1,normal,Normal,Hualqui,Los Acacios,142.0,0.006725395472198541
1,normal,Normal,Hualqui,Talcamávida,137.0,0.006488585772473241
1,normal,Normal,Hualqui,Gomero,24.0,0.0011366865586814436
1,normal,Normal,Hualqui,Buenuraqui,11.0,0.0005209813393956616
1,normal,Normal,Hualqui,San Rosendo,32.0,0.0015155820782419248
1,normal,Normal,Hualqui,Laja,124.0,0.005872880553187459
1,normal,Normal,Quilacoya,Mercado,62.0,0.0029364402765937295
1,normal,Normal,Quilacoya,El Arenal,16.0,0.0007577910391209624
1,normal,Normal,Quilacoya,Higueras,5.0,0.00023680969972530075
1,normal,Normal,Quilacoya,Los Cóndores,13.0,0.0006157052192857819
1,normal,Normal,Quilacoya,UTFSM,39.0,0.001847115657857346
1,normal,Normal,Quilacoya,Lorenzo Arenas,11.0,0.0005209813393956616
1,normal,Normal,Quilacoya,Concepción,599.0,0.02836980202709103
1,normal,Normal,Quilacoya,Chiguayante,71.0,0.0033626977360992705
1,normal,Normal,Quilacoya,Pedro Medina,26.0,0.0012314104385715639
1,normal,Normal,Quilacoya,Manquimávida,40.0,0.001894477597802406
1,normal,Normal,Quilacoya,La Leonera,121.0,0.005730794733352278
1,normal,Normal,Quilacoya,Hualqui,177.0,0.008383063370275647
1,normal,Normal,Quilacoya,Quilacoya,0.0,0.0
1,normal,Normal,Quilacoya,San Miguel,0.0,0.0
1,normal,Normal,Quilacoya,Unihue,9.0,0.00042625745950554135
1,normal,Normal,Quilacoya,Valle Chanco,2.0,9.47238798901203e-05
1,normal,Normal,Quilacoya,Los Acacios,3.0,0.00014208581983518045
1,normal,Normal,Quilacoya,Talcamávida,2.0,9.47238798901203e-05
1,normal,Normal,Quilacoya,Gomero,3.0,0.00014208581983518045
1,normal,Normal,Quilacoya,Buenuraqui,4.0,0.0001894477597802406
1,normal,Normal,Quilacoya,San Rosendo,14.0,0.0006630671592308421
1,normal,Normal,Quilacoya,Laja,13.0,0.0006157052192857819
1,normal,Normal,San Miguel,Mercado,11.0,0.0005209813393956616
1,normal,Normal,San Miguel,El Arenal,22.0,0.0010419626787913233
1,normal,Normal,San Miguel,Higueras,4.0,0.0001894477597802406
1,normal,Normal,San Miguel,Los Cóndores,5.0,0.00023680969972530075
1,normal,Normal,San Miguel,UTFSM,5.0,0.00023680969972530075
1,normal,Normal,San Miguel,Lorenzo Arenas,4.0,0.0001894477597802406
1,normal,Normal,San Miguel,Concepción,155.0,0.0073411006914843235
1,normal,Normal,San Miguel,Chiguayante,10.0,0.0004736193994506015
1,normal,Normal,San Miguel,Pedro Medina,23.0,0.0010893246187363835
1,normal,Normal,San Miguel,Manquimávida,5.0,0.00023680969972530075
1,normal,Normal,San Miguel,La Leonera,18.0,0.0008525149190110827
1,normal,Normal,San Miguel,Hualqui,46.0,0.002178649237472767
1,normal,Normal,San Miguel,Quilacoya,0.0,0.0
1,normal,Normal,San Miguel,San Miguel,0.0,0.0
1,normal,Normal,San Miguel,Unihue,1.0,4.736193994506015e-05
1,normal,Normal,San Miguel,Valle Chanco,0.0,0.0
1,normal,Normal,San Miguel,Los Acacios,0.0,0.0
1,normal,Normal,San Miguel,Talcamávida,0.0,0.0
1,normal,Normal,San Miguel,Gomero,0.0,0.0
1,normal,Normal,San Miguel,Buenuraqui,0.0,0.0
1,normal,Normal,San Miguel,San Rosendo,3.0,0.00014208581983518045
1,normal,Normal,San Miguel,Laja,10.0,0.0004736193994506015
1,normal,Normal,Unihue,Mercado,48.0,0.002273373117362887
1,normal,Normal,Unihue,El Arenal,15.0,0.0007104290991759022
1,normal,Normal,Unihue,Higueras,13.0,0.0006157052192857819
1,normal,Normal,Unihue,Los Cóndores,11.0,0.0005209813393956616
1,normal,Normal,Unihue,UTFSM,55.0,0.002604906696978308
1,normal,Normal,Unihue,Lorenzo Arenas,7.0,0.00033153357961542105
1,normal,Normal,Unihue,Concepción,442.0,0.020933977455716585
1,normal,Normal,Unihue,Chiguayante,54.0,0.0025575447570332483
1,normal,Normal,Unihue,Pedro Medina,55.0,0.002604906696978308
1,normal,Normal,Unihue,Manquimávida,21.0,0.0009946007388462632
1,normal,Normal,Unihue,La Leonera,91.0,0.004309936535000474
1,normal,Normal,Unihue,Hualqui,132.0,0.00625177607274794
1,normal,Normal,Unihue,Quilacoya,13.0,0.0006157052192857819
1,normal,Normal,Unihue,San Miguel,1.0,4.736193994506015e-05
1,normal,Normal,Unihue,Unihue,0.0,0.0
1,normal,Normal,Unihue,Valle Chanco,1.0,4.736193994506015e-05
1,normal,Normal,Unihue,Los Acacios,3.0,0.00014208581983518045
1,normal,Normal,Unihue,Talcamávida,6.0,0.0002841716396703609
1,normal,Normal,Unihue,Gomero,6.0,0.0002841716396703609
1,normal,Normal,Unihue,Buenuraqui,0.0,0.0
1,normal,Normal,Unihue,San Rosendo,6.0,0.0002841716396703609
1,normal,Normal,Unihue,Laja,24.0,0.0011366865586814436
1,normal,Normal,Valle Chanco,Mercado,6.0,0.0002841716396703609
1,normal,Normal,Valle Chanco,El Arenal,4.0,0.0001894477597802406
1,normal,Normal,Valle Chanco,Higueras,0.0,0.0
1,normal,Normal,Valle Chanco,Los Cóndores,12.0,0.0005683432793407218
1,normal,Normal,Valle Chanco,UTFSM,5.0,0.00023680969972530075
1,normal,Normal,Valle Chanco,Lorenzo Arenas,2.0,9.47238798901203e-05
1,normal,Normal,Valle Chanco,Concepción,59.0,0.0027943544567585487
1,normal,Normal,Valle Chanco,Chiguayante,19.0,0.0008998768589561428
1,normal,Normal,Valle Chanco,Pedro Medina,26.0,0.0012314104385715639
1,normal,Normal,Valle Chanco,Manquimávida,5.0,0.00023680969972530075
1,normal,Normal,Valle Chanco,La Leonera,39.0,0.001847115657857346
1,normal,Normal,Valle Chanco,Hualqui,26.0,0.0012314104385715639
1,normal,Normal,Valle Chanco,Quilacoya,1.0,4.736193994506015e-05
1,normal,Normal,Valle Chanco,San Miguel,0.0,0.0
1,normal,Normal,Valle Chanco,Unihue,2.0,9.47238798901203e-05
1,normal,Normal,Valle Chanco,Valle Chanco,0.0,0.0
1,normal,Normal,Valle Chanco,Los Acacios,0.0,0.0
1,normal,Normal,Valle Chanco,Talcamávida,3.0,0.00014208581983518045
1,normal,Normal,Valle Chanco,Gomero,0.0,0.0
1,normal,Normal,Valle Chanco,Buenuraqui,0.0,0.0
1,normal,Normal,Valle Chanco,San Rosendo,0.0,0.0
1,normal,Normal,Valle Chanco,Laja,11.0,0.0005209813393956616
1,normal,Normal,Los Acacios,Mercado,30.0,0.0014208581983518045
1,normal,Normal,Los Acacios,El Arenal,11.0,0.0005209813393956616
1,normal,Normal,Los Acacios,Higueras,8.0,0.0003788955195604812
1,normal,Normal,Los Acacios,Los Cóndores,1.0,4.736193994506015e-05
1,normal,Normal,Los Acacios,UTFSM,19.0,0.0008998768589561428
1,normal,Normal,Los Acacios,Lorenzo Arenas,8.0,0.0003788955195604812
1,normal,Normal,Los Acacios,Concepción,351.0,0.016624040920716114
1,normal,Normal,Los Acacios,Chiguayante,49.0,0.0023207350573079474
1,normal,Normal,Los Acacios,Pedro Medina,37.0,0.0017523917779672256
1,normal,Normal,Los Acacios,Manquimávida,25.0,0.0011840484986265038
1,normal,Normal,Los Acacios,La Leonera,65.0,0.00307852609642891
1,normal,Normal,Los Acacios,Hualqui,133.0,0.0062991380126929996
1,normal,Normal,Los Acacios,Quilacoya,7.0,0.00033153357961542105
1,normal,Normal,Los Acacios,San Miguel,1.0,4.736193994506015e-05
1,normal,Normal,Los Acacios,Unihue,8.0,0.0003788955195604812
1,normal,Normal,Los Acacios,Valle Chanco,0.0,0.0
1,normal,Normal,Los Acacios,Los Acacios,0.0,0.0
1,normal,Normal,Los Acacios,Talcamávida,0.0,0.0
1,normal,Normal,Los Acacios,Gomero,3.0,0.00014208581983518045
1,normal,Normal,Los Acacios,Buenuraqui,6.0,0.0002841716396703609
1,normal,Normal,Los Acacios,San Rosendo,6.0,0.0002841716396703609
1,normal,Normal,Los Acacios,Laja,56.0,0.0026522686369233684
1,normal,Normal,Talcamávida,Mercado,45.0,0.002131287297527707
1,normal,Normal,Talcamávida,El Arenal,23.0,0.0010893246187363835
1,normal,Normal,Talcamávida,Higueras,25.0,0.0011840484986265038
1,normal,Normal,Talcamávida,Los Cóndores,25.0,0.0011840484986265038
1,normal,Normal,Talcamávida,UTFSM,26.0,0.0012314104385715639
1,normal,Normal,Talcamávida,Lorenzo Arenas,26.0,0.0012314104385715639
1,normal,Normal,Talcamávida,Concepción,488.0,0.023112626693189354
1,normal,Normal,Talcamávida,Chiguayante,54.0,0.0025575447570332483
1,normal,Normal,Talcamávida,Pedro Medina,81.0,0.0038363171355498722
1,normal,Normal,Talcamávida,Manquimávida,27.0,0.0012787723785166241
1,normal,Normal,Talcamávida,La Leonera,85.0,0.004025764895330112
1,normal,Normal,Talcamávida,Hualqui,160.0,0.007577910391209624
1,normal,Normal,Talcamávida,Quilacoya,6.0,0.0002841716396703609
1,normal,Normal,Talcamávida,San Miguel,0.0,0.0
1,normal,Normal,Talcamávida,Unihue,9.0,0.00042625745950554135
1,normal,Normal,Talcamávida,Valle Chanco,4.0,0.0001894477597802406
1,normal,Normal,Talcamávida,Los Acacios,0.0,0.0
1,normal,Normal,Talcamávida,Talcamávida,0.0,0.0
1,normal,Normal,Talcamávida,Gomero,1.0,4.736193994506015e-05
1,normal,Normal,Talcamávida,Buenuraqui,1.0,4.736193994506015e-05
1,normal,Normal,Talcamávida,San Rosendo,20.0,0.000947238798901203
1,normal,Normal,Talcamávida,Laja,78.0,0.003694231315714692
1,normal,Normal,Gomero,Mercado,1.0,4.736193994506015e-05
1,normal,Normal,Gomero,El Arenal,0.0,0.0
1,normal,Normal,Gomero,Higueras,0.0,0.0
1,normal,Normal,Gomero,Los Cóndores,1.0,4.736193994506015e-05
1,normal,Normal,Gomero,UTFSM,2.0,9.47238798901203e-05
1,normal,Normal,Gomero,Lorenzo Arenas,0.0,0.0
1,normal,Normal,Gomero,Concepción,22.0,0.0010419626787913233
1,normal,Normal,Gomero,Chiguayante,8.0,0.0003788955195604812
1,normal,Normal,Gomero,Pedro Medina,5.0,0.00023680969972530075
