servicio,anio,mes_num,mes,afluencia,tipo_dato,fuente
Laja Talcahuano,2020,7,Julio,7521.0,historico_observado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2020,8,Agosto,8268.0,historico_observado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2020,9,Septiembre,4790.0,historico_observado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2020,10,Octubre,9217.0,historico_observado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2020,11,Noviembre,11816.0,historico_observado,Cierre-2026-EFESur.xlsx
Laja Talcahuano,2020,12,Diciembre,16457.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,1,Enero,43340.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,2,Febrero,42891.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,3,Marzo,63167.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,4,Abril,62698.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,5,Mayo,59389.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,6,Junio,46222.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,7,Julio,55987.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,8,Agosto,51601.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,9,Septiembre,44714.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,10,Octubre,52922.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,11,Noviembre,50758.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2025,12,Diciembre,43849.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,1,Enero,54017.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,2,Febrero,54488.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,3,Marzo,75098.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,4,Abril,72907.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,5,Mayo,66142.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,6,Junio,47559.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,7,Julio,60872.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,8,Agosto,60202.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,9,Septiembre,53711.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,10,Octubre,67778.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,11,Noviembre,65914.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2024,12,Diciembre,48004.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,1,Enero,37744.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,2,Febrero,26184.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,3,Marzo,64606.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,4,Abril,58542.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,5,Mayo,60151.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,6,Junio,53308.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,7,Julio,56134.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,8,Agosto,65957.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,9,Septiembre,55022.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,10,Octubre,61704.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,11,Noviembre,68931.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2023,12,Diciembre,54828.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,1,Enero,1928.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,2,Febrero,2063.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,3,Marzo,42883.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,4,Abril,46300.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,5,Mayo,54640.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,6,Junio,44354.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,7,Julio,32181.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,8,Agosto,58215.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,9,Septiembre,47835.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,10,Octubre,49506.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,11,Noviembre,56161.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2022,12,Diciembre,40847.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,1,Enero,13693.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,2,Febrero,17615.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,3,Marzo,16983.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,4,Abril,13727.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,5,Mayo,19694.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,6,Junio,19968.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,7,Julio,23679.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,8,Agosto,23826.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,9,Septiembre,23882.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,10,Octubre,30482.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,11,Noviembre,34341.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2021,12,Diciembre,36274.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,1,Enero,27692.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,2,Febrero,27576.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,3,Marzo,23073.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,4,Abril,0.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,5,Mayo,0.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,6,Junio,2049.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,7,Julio,3067.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,8,Agosto,4176.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,9,Septiembre,3776.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,10,Octubre,2910.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,11,Noviembre,1822.0,historico_observado,Cierre-2026-EFESur.xlsx
Tren Araucanía,2020,12,Diciembre,2467.0,historico_observado,Cierre-2026-EFESur.xlsx
