origen,destino,tarifa_2026
Los Cóndores,Hito Galvarino,290.0
Los Cóndores,Los Canelos,290.0
Los Cóndores,Huinca,290.0
Los Cóndores,Cristo Redentor,290.0
Los Cóndores,Laguna Quiñenco,300.0
Los Cóndores,Intermodal Coronel,300.0
Los Cóndores,Pasajero Lota,0.0
Los Cóndores,Concepción Centro,0.0
Higueras,Hualqui,190.0
Higueras,La Leonera,180.0
Higueras,Manquimávida,180.0
Higueras,Pedro Medina,180.0
Higueras,Chiguayante,180.0
Higueras,Concepción,170.0
Higueras,Lorenzo Arenas,170.0
Higueras,UTFSM,140.0
Higueras,Los Cóndores,140.0
Higueras,Higueras,140.0
Higueras,El Arenal,160.0
Higueras,Mercado,160.0
Higueras,Juan Pablo II,190.0
Higueras,Diagonal Biobío,190.0
Higueras,Alborada,190.0
Higueras,Costa Mar,200.0
Higueras,El Parque,200.0
Higueras,Lomas Coloradas,200.0
Higueras,C. Raúl Silva H.,200.0
Higueras,Hito Galvarino,290.0
Higueras,Los Canelos,290.0
Higueras,Huinca,290.0
Higueras,Cristo Redentor,290.0
Higueras,Laguna Quiñenco,300.0
Higueras,Intermodal Coronel,300.0
Higueras,Pasajero Lota,0.0
Higueras,Concepción Centro,0.0
El Arenal,Hualqui,190.0
El Arenal,La Leonera,180.0
El Arenal,Manquimávida,180.0
El Arenal,Pedro Medina,180.0
El Arenal,Chiguayante,180.0
El Arenal,Concepción,180.0
El Arenal,Lorenzo Arenas,180.0
El Arenal,UTFSM,160.0
El Arenal,Los Cóndores,160.0
El Arenal,Higueras,160.0
El Arenal,El Arenal,140.0
El Arenal,Mercado,140.0
El Arenal,Juan Pablo II,190.0
El Arenal,Diagonal Biobío,190.0
El Arenal,Alborada,190.0
El Arenal,Costa Mar,200.0
El Arenal,El Parque,200.0
El Arenal,Lomas Coloradas,200.0
El Arenal,C. Raúl Silva H.,200.0
El Arenal,Hito Galvarino,290.0
El Arenal,Los Canelos,290.0
El Arenal,Huinca,300.0
El Arenal,Cristo Redentor,300.0
El Arenal,Laguna Quiñenco,300.0
El Arenal,Intermodal Coronel,300.0
El Arenal,Pasajero Lota,0.0
El Arenal,Concepción Centro,0.0
Mercado,Hualqui,190.0
Mercado,La Leonera,180.0
Mercado,Manquimávida,180.0
Mercado,Pedro Medina,180.0
Mercado,Chiguayante,180.0
Mercado,Concepción,180.0
Mercado,Lorenzo Arenas,180.0
Mercado,UTFSM,160.0
Mercado,Los Cóndores,160.0
Mercado,Higueras,160.0
Mercado,El Arenal,140.0
Mercado,Mercado,140.0
Mercado,Juan Pablo II,190.0
Mercado,Diagonal Biobío,190.0
Mercado,Alborada,190.0
Mercado,Costa Mar,200.0
Mercado,El Parque,200.0
Mercado,Lomas Coloradas,200.0
Mercado,C. Raúl Silva H.,200.0
Mercado,Hito Galvarino,290.0
Mercado,Los Canelos,290.0
Mercado,Huinca,300.0
Mercado,Cristo Redentor,300.0
Mercado,Laguna Quiñenco,300.0
Mercado,Intermodal Coronel,300.0
Mercado,Pasajero Lota,0.0
Mercado,Concepción Centro,0.0
Juan Pablo II,Hualqui,200.0
Juan Pablo II,La Leonera,200.0
Juan Pablo II,Manquimávida,200.0
Juan Pablo II,Pedro Medina,200.0
Juan Pablo II,Chiguayante,200.0
Juan Pablo II,Concepción,190.0
Juan Pablo II,Lorenzo Arenas,190.0
Juan Pablo II,UTFSM,190.0
Juan Pablo II,Los Cóndores,190.0
Juan Pablo II,Higueras,190.0
Juan Pablo II,El Arenal,190.0
Juan Pablo II,Mercado,190.0
Juan Pablo II,Juan Pablo II,150.0
Juan Pablo II,Diagonal Biobío,150.0
Juan Pablo II,Alborada,150.0
Juan Pablo II,Costa Mar,170.0
Juan Pablo II,El Parque,170.0
Juan Pablo II,Lomas Coloradas,170.0
Juan Pablo II,C. Raúl Silva H.,170.0
Juan Pablo II,Hito Galvarino,220.0
Juan Pablo II,Los Canelos,220.0
Juan Pablo II,Huinca,230.0
Juan Pablo II,Cristo Redentor,230.0
Juan Pablo II,Laguna Quiñenco,260.0
Juan Pablo II,Intermodal Coronel,260.0
Juan Pablo II,Pasajero Lota,0.0
Juan Pablo II,Concepción Centro,0.0
Diagonal Biobío,Hualqui,200.0
Diagonal Biobío,La Leonera,200.0
Diagonal Biobío,Manquimávida,200.0
Diagonal Biobío,Pedro Medina,200.0
Diagonal Biobío,Chiguayante,200.0
Diagonal Biobío,Concepción,190.0
Diagonal Biobío,Lorenzo Arenas,190.0
Diagonal Biobío,UTFSM,190.0
Diagonal Biobío,Los Cóndores,190.0
Diagonal Biobío,Higueras,190.0
Diagonal Biobío,El Arenal,190.0
Diagonal Biobío,Mercado,190.0
Diagonal Biobío,Juan Pablo II,150.0
Diagonal Biobío,Diagonal Biobío,150.0
Diagonal Biobío,Alborada,150.0
Diagonal Biobío,Costa Mar,170.0
Diagonal Biobío,El Parque,170.0
Diagonal Biobío,Lomas Coloradas,170.0
Diagonal Biobío,C. Raúl Silva H.,170.0
Diagonal Biobío,Hito Galvarino,220.0
Diagonal Biobío,Los Canelos,220.0
Diagonal Biobío,Huinca,230.0
Diagonal Biobío,Cristo Redentor,230.0
Diagonal Biobío,Laguna Quiñenco,260.0
Diagonal Biobío,Intermodal Coronel,260.0
Diagonal Biobío,Pasajero Lota,0.0
Diagonal Biobío,Concepción Centro,0.0
Alborada,Hualqui,200.0
Alborada,La Leonera,200.0
Alborada,Manquimávida,200.0
Alborada,Pedro Medina,200.0
Alborada,Chiguayante,200.0
Alborada,Concepción,190.0
Alborada,Lorenzo Arenas,190.0
Alborada,UTFSM,190.0
Alborada,Los Cóndores,190.0
