mes,tipo_pasajero,demanda_total_biotren_mes,participacion_tipo,viajes_tipo_proyectados,ingresos_tipo_proyectados,tarifa_media_tipo,peso_historico,peso_gravitacional,ipf_converge,ipf_iteraciones,ipf_error_balance,gravity_converge,gravity_iteraciones,gravity_error_balance,periodo
9,Estudiante,1100584.0,0.23819252605313107,262150.8830936592,61234097.77342324,233.58341215866133,0.85,0.15000000000000002,True,1,6.498197516453869e-10,True,16,1.0412992596930208e-11,2027-09
9,Adulto Mayor,1100584.0,0.05871088729143451,64616.263178756155,22170806.486386783,343.1149589237755,0.85,0.15000000000000002,True,1,4.0859249579835345e-10,True,11,1.749587572752586e-11,2027-09
10,Normal,1189588.0,0.6972346564701961,829421.9805210674,541195688.6016695,652.4974033864818,0.8,0.19999999999999996,True,1,1.7280845361168538e-10,True,11,3.417577692398493e-11,2027-10
10,Estudiante,1189588.0,0.2424025045179312,288359.1105444768,67318836.36033691,233.45486200601107,0.85,0.15000000000000002,True,1,5.907116456612773e-10,True,16,8.185173784467628e-12,2027-10
10,Adulto Mayor,1189588.0,0.06036283901187268,71806.90893445558,24662343.237813808,343.4536258944843,0.85,0.15000000000000002,True,1,3.658571325197408e-10,True,11,1.529752514817786e-11,2027-10
11,Normal,1109871.0,0.705880738777072,783436.5614272476,511559185.15113044,652.9682304067902,0.8,0.19999999999999996,True,1,1.86222500149321e-10,True,11,4.741871529063015e-11,2027-11
11,Estudiante,1109871.0,0.23327369737911546,258903.71178385633,60507444.41468243,233.706361325544,0.85,0.15000000000000002,True,1,5.827366148429392e-10,True,16,1.4098917195715471e-11,2027-11
11,Adulto Mayor,1109871.0,0.06084556384381251,67530.72678889603,23163091.729846638,343.00077655398945,0.85,0.15000000000000002,True,1,3.8537281639840224e-10,True,11,1.83877725508442e-11,2027-11
12,Normal,1020141.0,0.7624824845795798,777839.6443014971,508558417.16493505,653.8088163680862,0.8,0.19999999999999996,True,1,2.0504347744019526e-10,True,11,8.369118264779848e-11,2027-12
12,Estudiante,1020141.0,0.17070561914213087,174143.80101727258,39549263.88504803,227.10692918162104,0.85,0.15000000000000002,True,1,5.741513063852693e-10,True,11,7.921233070241302e-09,2027-12
12,Adulto Mayor,1020141.0,0.06681189627828937,68157.5546812304,23397991.635246456,343.29270973229217,0.85,0.15000000000000002,True,1,4.127158398335806e-10,True,11,2.934370105293532e-11,2027-12
