periodo,mes,tipo_pasajero,origen,destino,ingresos_proyectados
2027-01,1,Normal,Chiguayante,Lomas Coloradas,182228.82093002013
2027-01,1,Normal,Chiguayante,C. Raúl Silva H.,118216.2802061051
2027-01,1,Normal,Chiguayante,Hito Galvarino,114242.2867567788
2027-01,1,Normal,Chiguayante,Los Canelos,183878.4825904215
2027-01,1,Normal,Chiguayante,Huinca,109261.73578090353
2027-01,1,Normal,Chiguayante,Cristo Redentor,160582.30602098606
2027-01,1,Normal,Chiguayante,Laguna Quiñenco,161031.0671651932
2027-01,1,Normal,Chiguayante,Intermodal Coronel,315409.01138632745
2027-01,1,Normal,Chiguayante,Pasajero Lota,0.0
2027-01,1,Normal,Chiguayante,Concepción Centro,0.0
2027-01,1,Normal,Concepción,Hualqui,3538059.3185322746
2027-01,1,Normal,Concepción,La Leonera,1316748.5461491826
2027-01,1,Normal,Concepción,Manquimávida,1445900.7650488457
2027-01,1,Normal,Concepción,Pedro Medina,773035.54455066
2027-01,1,Normal,Concepción,Chiguayante,1202699.849932561
2027-01,1,Normal,Concepción,Concepción,4149098.327904808
2027-01,1,Normal,Concepción,Lorenzo Arenas,366380.5094324479
2027-01,1,Normal,Concepción,UTFSM,656941.8574557729
2027-01,1,Normal,Concepción,Los Cóndores,1375723.923187854
2027-01,1,Normal,Concepción,Higueras,1134713.247667772
2027-01,1,Normal,Concepción,El Arenal,933124.5709440724
2027-01,1,Normal,Concepción,Mercado,1124214.325822387
2027-01,1,Normal,Concepción,Juan Pablo II,2431039.65564474
2027-01,1,Normal,Concepción,Diagonal Biobío,2182986.6709694597
2027-01,1,Normal,Concepción,Alborada,1569804.6290354806
2027-01,1,Normal,Concepción,Costa Mar,7086689.26427269
2027-01,1,Normal,Concepción,El Parque,3647642.121573329
2027-01,1,Normal,Concepción,Lomas Coloradas,10461838.965705646
2027-01,1,Normal,Concepción,C. Raúl Silva H.,7687992.765685133
2027-01,1,Normal,Concepción,Hito Galvarino,6205718.144807413
2027-01,1,Normal,Concepción,Los Canelos,15566100.281133076
2027-01,1,Normal,Concepción,Huinca,8767144.12785316
2027-01,1,Normal,Concepción,Cristo Redentor,13415308.576005453
2027-01,1,Normal,Concepción,Laguna Quiñenco,12656432.715103284
2027-01,1,Normal,Concepción,Intermodal Coronel,16710202.708799474
2027-01,1,Normal,Concepción,Pasajero Lota,0.0
2027-01,1,Normal,Concepción,Concepción Centro,0.0
2027-01,1,Normal,Lorenzo Arenas,Hualqui,295335.43257750454
2027-01,1,Normal,Lorenzo Arenas,La Leonera,160422.18863894045
2027-01,1,Normal,Lorenzo Arenas,Manquimávida,129764.99056082174
2027-01,1,Normal,Lorenzo Arenas,Pedro Medina,114723.43851263706
2027-01,1,Normal,Lorenzo Arenas,Chiguayante,149415.24407949325
2027-01,1,Normal,Lorenzo Arenas,Concepción,369659.39620445983
2027-01,1,Normal,Lorenzo Arenas,Lorenzo Arenas,17324.117243052537
2027-01,1,Normal,Lorenzo Arenas,UTFSM,43229.97079664032
2027-01,1,Normal,Lorenzo Arenas,Los Cóndores,98287.97064531414
2027-01,1,Normal,Lorenzo Arenas,Higueras,137989.5255965131
2027-01,1,Normal,Lorenzo Arenas,El Arenal,116628.26153381966
2027-01,1,Normal,Lorenzo Arenas,Mercado,161635.12608867072
2027-01,1,Normal,Lorenzo Arenas,Juan Pablo II,73004.66349764887
2027-01,1,Normal,Lorenzo Arenas,Diagonal Biobío,45638.44468994598
2027-01,1,Normal,Lorenzo Arenas,Alborada,36236.48126717035
2027-01,1,Normal,Lorenzo Arenas,Costa Mar,117714.4532127056
2027-01,1,Normal,Lorenzo Arenas,El Parque,50542.6909494881
2027-01,1,Normal,Lorenzo Arenas,Lomas Coloradas,108323.55912265615
2027-01,1,Normal,Lorenzo Arenas,C. Raúl Silva H.,95381.43931699876
2027-01,1,Normal,Lorenzo Arenas,Hito Galvarino,91016.19991987679
2027-01,1,Normal,Lorenzo Arenas,Los Canelos,181667.76454056564
2027-01,1,Normal,Lorenzo Arenas,Huinca,77219.67266346594
2027-01,1,Normal,Lorenzo Arenas,Cristo Redentor,175959.94058026775
2027-01,1,Normal,Lorenzo Arenas,Laguna Quiñenco,123039.45343341326
2027-01,1,Normal,Lorenzo Arenas,Intermodal Coronel,188604.10187372225
2027-01,1,Normal,Lorenzo Arenas,Pasajero Lota,0.0
2027-01,1,Normal,Lorenzo Arenas,Concepción Centro,0.0
2027-01,1,Normal,UTFSM,Hualqui,322011.71122349775
2027-01,1,Normal,UTFSM,La Leonera,196896.6057707686
2027-01,1,Normal,UTFSM,Manquimávida,149109.99035657584
2027-01,1,Normal,UTFSM,Pedro Medina,138727.35468673217
2027-01,1,Normal,UTFSM,Chiguayante,241206.4612889699
